Ortholog	Type	Chr	Species	D_spp	dN	dS	dNdS
Pa_1_2130	Random	1	pseudocomata	0.008870	0.004036	0.025991	0.155283
Pa_1_21770	Random	1	pauciseta	0.000000	0.000000	0.000000	0.000000
Pa_1_21770	Random	1	comata	0.006890	0.003829	0.016913	0.226388
Pa_1_21770	Random	1	bellae-mahoneyi	0.012745	0.002552	0.046577	0.054781
Pa_1_21770	Random	1	pseudoanserina	0.006863	0.006376	0.008481	0.751860
Pa_1_21770	Random	1	pseudopauciseta	0.007843	0.005109	0.016878	0.302682
Pa_1_21770	Random	1	pseudocomata	NA	NA	NA	NA
Pa_1_23870	Random	1	pauciseta	0.007586	0.002308	0.025153	0.091754
Pa_1_23870	Random	1	comata	0.010222	0.004036	0.031028	0.130081
Pa_1_23870	Random	1	bellae-mahoneyi	0.010667	0.002884	0.036810	0.078343
Pa_1_23870	Random	1	pseudoanserina	0.009333	0.004615	0.025161	0.183432
Pa_1_23870	Random	1	pseudopauciseta	0.010667	0.006347	0.025153	0.252325
Pa_1_23870	Random	1	pseudocomata	0.006222	0.002307	0.019386	0.118981
Pa_1_24450	Random	1	pauciseta	0.011581	0.008198	0.022502	0.364347
Pa_1_24450	Random	1	comata	0.015023	0.007793	0.038318	0.203373
Pa_1_24450	Random	1	bellae-mahoneyi	0.021596	0.009016	0.059603	0.151275
Pa_1_24450	Random	1	pseudoanserina	0.020031	0.009423	0.054365	0.173330
Pa_1_24450	Random	1	pseudopauciseta	0.020031	0.009011	0.054401	0.165650
Pa_1_24450	Random	1	pseudocomata	0.015023	0.006972	0.040960	0.170225
Pa_1_2740	Random	1	pauciseta	0.008644	0.001398	0.033307	0.041972
Pa_1_2740	Random	1	comata	0.006483	0.000000	0.028583	0.000000
Pa_1_2740	Random	1	bellae-mahoneyi	0.009184	0.003493	0.026222	0.133204
Pa_1_2740	Random	1	pseudoanserina	0.004862	0.000698	0.019078	0.036612
Pa_1_2740	Random	1	pseudopauciseta	0.004322	0.000698	0.016693	0.041843
Pa_1_2740	Random	1	pseudocomata	0.004322	0.000699	0.016660	0.041950
Pa_1_410	Random	1	pauciseta	0.013580	0.006984	0.034985	0.199633
Pa_1_410	Random	1	comata	0.011523	0.005910	0.029738	0.198730
Pa_1_410	Random	1	bellae-mahoneyi	0.015226	0.006982	0.042032	0.166107
Pa_1_410	Random	1	pseudoanserina	0.013152	0.007517	0.029790	0.252351
Pa_1_410	Random	1	pseudopauciseta	0.012330	0.006443	0.029798	0.216218
Pa_1_410	Random	1	pseudocomata	0.012741	0.005911	0.034965	0.169049
Pa_1_5130	Random	1	pauciseta	0.005535	0.000000	0.024816	0.000000
Pa_1_5130	Random	1	comata	0.004920	0.000792	0.019301	0.041010
Pa_1_5130	Random	1	bellae-mahoneyi	0.006765	0.002374	0.022079	0.107524
Pa_1_5130	Random	1	pseudoanserina	0.010455	0.003167	0.035829	0.088382
Pa_1_5130	Random	1	pseudopauciseta	0.009225	0.002374	0.033103	0.071725
Pa_1_5130	Random	1	pseudocomata	0.010455	0.001582	0.041417	0.038208
Pa_1_5700	Random	1	pauciseta	0.006667	0.002570	0.019862	0.129372
Pa_1_5700	Random	1	comata	0.009412	0.005139	0.021517	0.238840
Pa_1_5700	Random	1	bellae-mahoneyi	0.010980	0.006683	0.024800	0.269483
Pa_1_5700	Random	1	pseudoanserina	0.010196	0.004630	0.026403	0.175347
Pa_1_5700	Random	1	pseudopauciseta	0.012157	0.005143	0.034673	0.148335
Pa_1_5700	Random	1	pseudocomata	0.010588	0.004112	0.031422	0.130876
Pa_2_10990	Random	2	pauciseta	0.012821	0.009292	0.023018	0.403687
Pa_2_10990	Random	2	comata	0.013807	0.009288	0.023047	0.402993
Pa_2_10990	Random	2	bellae-mahoneyi	0.019724	0.009294	0.049840	0.186478
Pa_2_10990	Random	2	pseudoanserina	0.014793	0.009282	0.030789	0.301464
Pa_2_10990	Random	2	pseudopauciseta	0.017751	0.011928	0.034682	0.343936
Pa_2_10990	Random	2	pseudocomata	0.011834	0.003984	0.034483	0.115538
Pa_2_11200	Random	2	pauciseta	0.004444	0.000000	0.019342	0.000000
Pa_2_11200	Random	2	comata	0.003556	0.000000	0.015464	0.000000
Pa_2_11200	Random	2	bellae-mahoneyi	0.003556	0.000000	0.015464	0.000000
Pa_2_11200	Random	2	pseudoanserina	0.005333	0.000000	0.023211	0.000000
Pa_2_11200	Random	2	pseudopauciseta	0.004444	0.000000	0.019330	0.000000
Pa_2_11200	Random	2	pseudocomata	0.003556	0.000000	0.015484	0.000000
Pa_2_1170	Random	2	pauciseta	0.010440	0.002952	0.033881	0.087122
Pa_2_1170	Random	2	comata	0.008203	0.000984	0.030832	0.031902
Pa_2_1170	Random	2	bellae-mahoneyi	0.011186	0.003931	0.034021	0.115535
Pa_2_1170	Random	2	pseudoanserina	0.008949	0.002951	0.027735	0.106411
Pa_2_1170	Random	2	pseudopauciseta	0.010440	0.002952	0.033864	0.087181
Pa_2_1170	Random	2	pseudocomata	0.012677	0.001966	0.046320	0.042449
Pa_2_13990	Random	2	pauciseta	0.004754	0.002745	0.011468	0.239396
Pa_2_13990	Random	2	comata	0.008980	0.004117	0.025258	0.162981
Pa_2_13990	Random	2	bellae-mahoneyi	0.014791	0.006856	0.041443	0.165423
Pa_2_13990	Random	2	pseudoanserina	0.007924	0.005488	0.016080	0.341315
Pa_2_13990	Random	2	pseudopauciseta	0.007396	0.004117	0.018363	0.224211
Pa_2_13990	Random	2	pseudocomata	0.004754	0.003431	0.009181	0.373685
Pa_2_14140	Random	2	pauciseta	0.004739	0.002085	0.013043	0.159833
Pa_2_14140	Random	2	comata	0.008689	0.002086	0.029316	0.071139
Pa_2_14140	Random	2	bellae-mahoneyi	0.008689	0.002086	0.029300	0.071190
Pa_2_14140	Random	2	pseudoanserina	0.006319	0.001043	0.022814	0.045699
Pa_2_14140	Random	2	pseudopauciseta	0.007109	0.001043	0.026073	0.039987
Pa_2_14140	Random	2	pseudocomata	0.007109	0.002086	0.022801	0.091464
Pa_2_3000	Random	2	pauciseta	0.003887	0.001913	0.010208	0.187416
Pa_2_3000	Random	2	comata	0.010204	0.003183	0.030612	0.103968
Pa_2_3000	Random	2	bellae-mahoneyi	0.009718	0.004463	0.026558	0.168044
Pa_2_3000	Random	2	pseudoanserina	0.009232	0.004465	0.024473	0.182454
Pa_2_3000	Random	2	pseudopauciseta	0.010690	0.005742	0.026504	0.216636
Pa_2_3000	Random	2	pseudocomata	0.009232	0.005101	0.022457	0.227171
Pa_2_3545	Random	2	pauciseta	0.011236	0.004742	0.032823	0.144483
Pa_2_3545	Random	2	comata	0.015970	0.011364	0.019608	0.579545
Pa_2_3545	Random	2	bellae-mahoneyi	0.019132	0.014254	0.035870	0.397385
Pa_2_3545	Random	2	pseudoanserina	0.015590	0.011367	0.029380	0.386907
Pa_2_3545	Random	2	pseudopauciseta	0.015590	0.011367	0.029380	0.386907
Pa_2_3545	Random	2	pseudocomata	0.018464	0.014113	0.029492	0.478543
Pa_2_7080	Random	2	pauciseta	0.008755	0.003254	0.027051	0.120282
Pa_2_7080	Random	2	comata	0.010632	0.004067	0.032462	0.125294
Pa_2_7080	Random	2	bellae-mahoneyi	0.013133	0.003252	0.046070	0.070588
Pa_2_7080	Random	2	pseudoanserina	0.010006	0.004881	0.027039	0.180529
Pa_2_7080	Random	2	pseudopauciseta	0.011257	0.004881	0.032462	0.150352
Pa_2_7080	Random	2	pseudocomata	0.009381	0.004071	0.021583	0.188602
Pa_2_7130	Random	2	pauciseta	0.004687	0.000786	0.014963	0.052518
Pa_2_7130	Random	2	comata	0.005565	0.002357	0.013825	0.170463
Pa_2_7130	Random	2	bellae-mahoneyi	0.005565	0.001964	0.014968	0.131227
Pa_2_7130	Random	2	pseudoanserina	0.004687	0.001965	0.011505	0.170771
Pa_2_7130	Random	2	pseudopauciseta	0.004394	0.001179	0.012661	0.093100
Pa_2_7130	Random	2	pseudocomata	0.006446	0.001179	0.020721	0.056880
Pa_2_800	Random	2	pauciseta	0.006458	0.002435	0.019036	0.127922
Pa_2_800	Random	2	comata	0.007073	0.001218	0.025370	0.047998
Pa_2_800	Random	2	bellae-mahoneyi	0.007688	0.002435	0.024107	0.101019
Pa_2_800	Random	2	pseudoanserina	0.005535	0.002029	0.016497	0.123002
Pa_2_800	Random	2	pseudopauciseta	0.006765	0.002029	0.020305	0.099939
Pa_2_800	Random	2	pseudocomata	0.007073	0.002435	0.021583	0.112809
Pa_2_8165	Random	2	pauciseta	0.011358	0.003910	0.032631	0.119814
Pa_2_8165	Random	2	comata	0.012346	0.005868	0.030540	0.192133
Pa_2_8165	Random	2	bellae-mahoneyi	0.014321	0.006517	0.036697	0.177582
Pa_2_8165	Random	2	pseudoanserina	0.014321	0.007168	0.034670	0.206738
Pa_2_8165	Random	2	pseudopauciseta	0.013333	0.007168	0.030581	0.234409
Pa_2_8165	Random	2	pseudocomata	0.013333	0.005864	0.032631	0.179721
Pa_2_9380	Random	2	pauciseta	0.005618	0.002438	0.016142	0.151061
Pa_2_9380	Random	2	comata	0.006367	0.003412	0.016164	0.211115
Pa_2_9380	Random	2	bellae-mahoneyi	0.012026	0.005850	0.032319	0.181019
Pa_2_9380	Random	2	pseudoanserina	0.007491	0.002927	0.022587	0.129571
Pa_2_9380	Random	2	pseudopauciseta	0.007865	0.003414	0.022587	0.151167
Pa_2_9380	Random	2	pseudocomata	0.007116	0.002926	0.020990	0.139392
Pa_2_9940	Random	2	pauciseta	0.007663	0.001954	0.028402	0.068811
Pa_2_9940	Random	2	comata	0.006897	0.000978	0.028369	0.034457
Pa_2_9940	Random	2	bellae-mahoneyi	0.003831	0.000000	0.017730	0.000000
Pa_2_9940	Random	2	pseudoanserina	0.004598	0.000000	0.021277	0.000000
Pa_2_9940	Random	2	pseudopauciseta	0.004598	0.000000	0.021277	0.000000
Pa_2_9940	Random	2	pseudocomata	0.006897	0.000977	0.028386	0.034432
Pa_3_11050	Random	3	pauciseta	0.007762	0.003791	0.020491	0.184993
Pa_3_11050	Random	3	comata	0.017411	0.006765	0.053970	0.125352
Pa_3_11050	Random	3	bellae-mahoneyi	0.024963	0.009211	0.078079	0.117973
Pa_3_11050	Random	3	pseudoanserina	0.016572	0.006496	0.048485	0.133983
Pa_3_11050	Random	3	pseudopauciseta	0.017621	0.007577	0.049448	0.153241
Pa_3_11050	Random	3	pseudocomata	0.014475	0.005956	0.042870	0.138921
Pa_3_11150	Random	3	pauciseta	0.010575	0.005550	0.026682	0.207998
Pa_3_11150	Random	3	comata	0.014805	0.007210	0.037433	0.192615
Pa_3_11150	Random	3	bellae-mahoneyi	0.016920	0.007212	0.046318	0.155695
Pa_3_11150	Random	3	pseudoanserina	0.021574	0.011097	0.053412	0.207755
Pa_3_11150	Random	3	pseudopauciseta	0.024112	0.012195	0.060714	0.200861
Pa_3_11150	Random	3	pseudocomata	NA	NA	NA	NA
Pa_3_11440	Random	3	pauciseta	0.020207	0.016567	0.028393	0.583482
Pa_3_11440	Random	3	comata	0.020124	0.016413	0.025105	0.653796
Pa_3_11440	Random	3	bellae-mahoneyi	0.026505	0.020632	0.034361	0.600442
Pa_3_11440	Random	3	pseudoanserina	0.019714	0.015628	0.029482	0.530106
Pa_3_11440	Random	3	pseudopauciseta	0.023674	0.019136	0.033554	0.570302
Pa_3_11440	Random	3	pseudocomata	0.019975	0.016916	0.023331	0.725050
Pa_3_11500	Random	3	pauciseta	0.008147	0.007522	0.008623	0.872313
Pa_3_11500	Random	3	comata	0.012425	0.010342	0.017246	0.599715
Pa_3_11500	Random	3	bellae-mahoneyi	0.018201	0.011744	0.034566	0.339773
Pa_3_11500	Random	3	pseudoanserina	0.015232	0.011756	0.022972	0.511771
Pa_3_11500	Random	3	pseudopauciseta	0.013461	0.009875	0.021536	0.458547
Pa_3_11500	Random	3	pseudocomata	0.010627	0.008459	0.015824	0.534603
Pa_3_1600	Random	3	pauciseta	0.009743	0.002308	0.034300	0.067284
Pa_3_1600	Random	3	comata	0.010038	0.002308	0.035571	0.064881
Pa_3_1600	Random	3	bellae-mahoneyi	0.008267	0.001154	0.030470	0.037878
Pa_3_1600	Random	3	pseudoanserina	0.011219	0.002692	0.039382	0.068369
Pa_3_1600	Random	3	pseudopauciseta	0.011810	0.003077	0.040661	0.075673
Pa_3_1600	Random	3	pseudocomata	0.009153	0.001923	0.033030	0.058226
Pa_3_2640	Random	3	pauciseta	0.033828	0.032403	0.027956	1.159091
Pa_3_2640	Random	3	comata	0.037954	0.032415	0.041885	0.773906
Pa_3_2640	Random	3	bellae-mahoneyi	0.038407	0.019452	0.024419	0.796624
Pa_3_2640	Random	3	pseudoanserina	0.038779	0.032368	0.052601	0.615357
Pa_3_2640	Random	3	pseudopauciseta	0.034653	0.029168	0.045402	0.642448
Pa_3_2640	Random	3	pseudocomata	NA	NA	NA	NA
Pa_3_4200	Random	3	pauciseta	0.004274	0.000000	0.018987	0.000000
Pa_3_4200	Random	3	comata	0.007835	0.000919	0.031646	0.029044
Pa_3_4200	Random	3	bellae-mahoneyi	0.005698	0.000919	0.022152	0.041492
Pa_3_4200	Random	3	pseudoanserina	0.006410	0.000000	0.028481	0.000000
Pa_3_4200	Random	3	pseudopauciseta	0.008547	0.000000	0.037975	0.000000
Pa_3_4200	Random	3	pseudocomata	0.004986	0.000000	0.022152	0.000000
Pa_3_4260	Random	3	pauciseta	0.009444	0.005067	0.021802	0.232397
Pa_3_4260	Random	3	comata	0.012592	0.005987	0.030538	0.196054
Pa_3_4260	Random	3	bellae-mahoneyi	0.010843	0.004147	0.031930	0.129891
Pa_3_4260	Random	3	pseudoanserina	0.009794	0.003225	0.030508	0.105702
Pa_3_4260	Random	3	pseudopauciseta	0.009094	0.003225	0.027603	0.116829
Pa_3_4260	Random	3	pseudocomata	0.012592	0.003225	0.039216	0.082239
Pa_3_5080	Random	3	pauciseta	0.004021	0.001143	0.014325	0.079813
Pa_3_5080	Random	3	comata	0.004915	0.001143	0.018417	0.062077
Pa_3_5080	Random	3	bellae-mahoneyi	0.008043	0.004003	0.022480	0.178075
Pa_3_5080	Random	3	pseudoanserina	0.008043	0.001715	0.028669	0.059807
Pa_3_5080	Random	3	pseudopauciseta	0.008490	0.001715	0.030717	0.055820
Pa_3_5080	Random	3	pseudocomata	0.007149	0.000572	0.030696	0.018623
Pa_3_5390	Random	3	pauciseta	0.021195	0.018661	0.029893	0.624241
Pa_3_5390	Random	3	comata	0.013487	0.012448	0.017045	0.730290
Pa_3_5390	Random	3	bellae-mahoneyi	0.014451	0.007467	0.038380	0.194565
Pa_3_5390	Random	3	pseudoanserina	0.015414	0.004979	0.051136	0.097372
Pa_3_5390	Random	3	pseudopauciseta	0.014451	0.004979	0.046875	0.106224
Pa_3_5390	Random	3	pseudocomata	0.009634	0.004979	0.025568	0.194744
Pa_3_5460	Random	3	pauciseta	0.012888	0.008433	0.022351	0.377318
Pa_3_5460	Random	3	comata	0.012302	0.006898	0.027341	0.252311
Pa_3_5460	Random	3	bellae-mahoneyi	0.015817	0.008429	0.037313	0.225900
Pa_3_5460	Random	3	pseudoanserina	0.010545	0.008430	0.014919	0.565057
Pa_3_5460	Random	3	pseudopauciseta	0.011716	0.007665	0.022370	0.342645
Pa_3_5460	Random	3	pseudocomata	0.008202	0.005365	0.014913	0.359777
Pa_3_5540	Random	3	pauciseta	0.015326	0.004972	0.050093	0.099263
Pa_3_5540	Random	3	comata	0.008301	0.004141	0.022315	0.185559
Pa_3_5540	Random	3	bellae-mahoneyi	0.016603	0.009115	0.041763	0.218248
Pa_3_5540	Random	3	pseudoanserina	0.018519	0.009098	0.047619	0.191067
Pa_3_5540	Random	3	pseudopauciseta	0.017241	0.008274	0.044776	0.184777
Pa_3_5540	Random	3	pseudocomata	0.013410	0.005803	0.036145	0.160542
Pa_3_7600	Random	3	pauciseta	0.009150	0.003389	0.028599	0.118498
Pa_3_7600	Random	3	comata	0.011765	0.007623	0.025763	0.295878
Pa_3_7600	Random	3	bellae-mahoneyi	0.008530	0.003389	0.025739	0.131664
Pa_3_7600	Random	3	pseudoanserina	0.009804	0.002541	0.034351	0.073970
Pa_3_7600	Random	3	pseudopauciseta	0.011111	0.002541	0.040076	0.063402
Pa_3_7600	Random	3	pseudocomata	0.013072	0.007623	0.031489	0.242082
Pa_3_8350	Random	3	pauciseta	0.005405	0.000788	0.020042	0.039324
Pa_3_8350	Random	3	comata	0.009025	0.007886	0.012500	0.630915
Pa_3_8350	Random	3	bellae-mahoneyi	0.019820	0.010232	0.027673	0.369754
Pa_3_8350	Random	3	pseudoanserina	0.006703	0.001576	0.022547	0.069910
Pa_3_8350	Random	3	pseudopauciseta	0.006094	0.001576	0.020042	0.078648
Pa_3_8350	Random	3	pseudocomata	0.008393	0.002361	0.027489	0.085878
Pa_3_8630	Random	3	pauciseta	0.008987	0.004388	0.022412	0.195769
Pa_3_8630	Random	3	comata	0.008460	0.004390	0.019180	0.228888
Pa_3_8630	Random	3	bellae-mahoneyi	0.012887	0.006586	0.028754	0.229052
Pa_3_8630	Random	3	pseudoanserina	0.014742	0.004387	0.041644	0.105339
Pa_3_8630	Random	3	pseudopauciseta	0.013923	0.004387	0.041644	0.105339
Pa_3_8630	Random	3	pseudocomata	0.012255	0.003291	0.038400	0.085710
Pa_3_9200	Random	3	pauciseta	0.008408	0.003869	0.021216	0.182373
Pa_3_9200	Random	3	comata	0.012878	0.005160	0.038176	0.135154
Pa_3_9200	Random	3	bellae-mahoneyi	0.012878	0.002580	0.042388	0.060875
Pa_3_9200	Random	3	pseudoanserina	0.010880	0.003867	0.034018	0.113668
Pa_3_9200	Random	3	pseudopauciseta	0.011375	0.004512	0.033994	0.132735
Pa_3_9200	Random	3	pseudocomata	0.011375	0.004516	0.033910	0.133164
Pa_4_1100	Random	4	pauciseta	0.003795	0.001665	0.010624	0.156679
Pa_4_1100	Random	4	comata	0.000633	0.000832	0.000000	NA
Pa_4_1100	Random	4	bellae-mahoneyi	0.029114	0.015803	0.061224	0.258109
Pa_4_1100	Random	4	pseudoanserina	0.023403	0.014141	0.045233	0.312630
Pa_4_1100	Random	4	pseudopauciseta	0.026582	0.012484	0.061089	0.204364
Pa_4_1100	Random	4	pseudocomata	0.023403	0.014979	0.042516	0.352323
Pa_4_2540	Random	4	pauciseta	0.011249	0.003913	0.031605	0.123823
Pa_4_2540	Random	4	comata	0.010657	0.002345	0.034160	0.068655
Pa_4_2540	Random	4	bellae-mahoneyi	0.015986	0.003911	0.053571	0.073012
Pa_4_2540	Random	4	pseudoanserina	0.011249	0.003911	0.034105	0.114671
Pa_4_2540	Random	4	pseudopauciseta	0.010657	0.004694	0.029209	0.160712
Pa_4_2540	Random	4	pseudocomata	0.008289	0.003911	0.021924	0.178377
Pa_4_280	Random	4	pauciseta	0.013245	0.007812	0.027239	0.286780
Pa_4_280	Random	4	comata	0.018212	0.010643	0.042219	0.252101
Pa_4_280	Random	4	bellae-mahoneyi	0.014349	0.008520	0.032218	0.264438
Pa_4_280	Random	4	pseudoanserina	0.024283	0.009234	0.071753	0.128693
Pa_4_280	Random	4	pseudopauciseta	0.028146	0.010658	0.081549	0.130701
Pa_4_280	Random	4	pseudocomata	0.016556	0.009941	0.037159	0.267519
Pa_4_290	Random	4	pauciseta	0.008418	0.002228	0.027570	0.080796
Pa_4_290	Random	4	comata	0.008418	0.005570	0.017222	0.323431
Pa_4_290	Random	4	bellae-mahoneyi	0.010101	0.004451	0.027650	0.160979
Pa_4_290	Random	4	pseudoanserina	0.010943	0.005567	0.027602	0.201684
Pa_4_290	Random	4	pseudopauciseta	0.012626	0.005567	0.034503	0.161347
Pa_4_290	Random	4	pseudocomata	0.008418	0.005566	0.017261	0.322449
Pa_4_3470	Random	4	pauciseta	0.008795	0.003434	0.026266	0.130755
Pa_4_3470	Random	4	comata	0.007916	0.002290	0.026266	0.087170
Pa_4_3470	Random	4	bellae-mahoneyi	0.012313	0.004580	0.037500	0.122137
Pa_4_3470	Random	4	pseudoanserina	0.010554	0.003434	0.033792	0.101615
Pa_4_3470	Random	4	pseudopauciseta	0.011434	0.005723	0.030038	0.190528
Pa_4_3470	Random	4	pseudocomata	0.009675	0.004578	0.026299	0.174055
Pa_4_7380	Random	4	pauciseta	0.005666	0.001233	0.020175	0.061105
Pa_4_7380	Random	4	comata	0.006925	0.001233	0.024199	0.050951
Pa_4_7380	Random	4	bellae-mahoneyi	0.009443	0.002876	0.030942	0.092959
Pa_4_7380	Random	4	pseudoanserina	0.008499	0.002054	0.028257	0.072702
Pa_4_7380	Random	4	pseudopauciseta	0.007246	0.001643	0.025572	0.064265
Pa_4_7380	Random	4	pseudocomata	0.008184	0.001644	0.029577	0.055583
Pa_4_7600	Random	4	pauciseta	0.007809	0.003907	0.017532	0.222849
Pa_4_7600	Random	4	comata	0.007321	0.004559	0.013628	0.334564
Pa_4_7600	Random	4	bellae-mahoneyi	0.011713	0.007820	0.021380	0.365769
Pa_4_7600	Random	4	pseudoanserina	0.011230	0.005863	0.025300	0.231721
Pa_4_7600	Random	4	pseudopauciseta	0.011225	0.006514	0.023354	0.278924
Pa_4_7600	Random	4	pseudocomata	0.009273	0.004559	0.021422	0.212812
Pa_5_10620	Random	5	pauciseta	NA	NA	NA	NA
Pa_5_10620	Random	5	comata	0.047990	0.024509	0.041047	0.597095
Pa_5_10620	Random	5	bellae-mahoneyi	NA	NA	NA	NA
Pa_5_10620	Random	5	pseudoanserina	0.048828	0.025563	0.040986	0.623700
Pa_5_10620	Random	5	pseudopauciseta	0.041650	0.035441	0.058684	0.603934
Pa_5_10620	Random	5	pseudocomata	0.039720	0.026046	0.023159	1.124661
Pa_5_10740	Random	5	pauciseta	0.025794	0.020583	0.043353	0.474786
Pa_5_10740	Random	5	comata	0.029762	0.020583	0.060694	0.339133
