Ortholog	Species	Check
Pa_4_290	pauciseta	Monophyletic
Pa_4_290	comata	Monophyletic
Pa_4_290	pseudoanserina	Monophyletic
Pa_4_290	All	Monophyletic
Pa_4_3470	anserina	Monophyletic
Pa_4_3470	pauciseta	Monophyletic
Pa_4_3470	comata	Monophyletic
Pa_4_3470	pseudoanserina	Monophyletic
Pa_4_3470	All	Monophyletic
Pa_4_7380	anserina	Monophyletic
Pa_4_7380	pauciseta	Monophyletic
Pa_4_7380	comata	Monophyletic
Pa_4_7380	pseudoanserina	Monophyletic
Pa_4_7380	All	Monophyletic
Pa_4_7600	anserina	Monophyletic
Pa_4_7600	pauciseta	Monophyletic
Pa_4_7600	comata	Monophyletic
Pa_4_7600	pseudoanserina	Monophyletic
Pa_4_7600	All	Monophyletic
Pa_5_10620	anserina	Monophyletic
Pa_5_10620	pauciseta	Absent
Pa_5_10620	comata	Monophyletic
Pa_5_10620	pseudoanserina	Monophyletic
Pa_5_10620	All	Monophyletic
Pa_5_10740	anserina	Monophyletic
Pa_5_10740	pauciseta	Monophyletic
Pa_5_10740	comata	Monophyletic
Pa_5_10740	pseudoanserina	Monophyletic
Pa_5_10740	All	Monophyletic
Pa_5_11550	anserina	Monophyletic
Pa_5_11550	pauciseta	Monophyletic
Pa_5_11550	comata	Monophyletic
Pa_5_11550	pseudoanserina	Monophyletic
Pa_5_11550	All	Monophyletic
Pa_5_11813	anserina	Monophyletic
Pa_5_11813	pauciseta	Monophyletic
Pa_5_11813	comata	Monophyletic
Pa_5_11813	pseudoanserina	Monophyletic
Pa_5_11813	All	Monophyletic
Pa_5_12300	anserina	Monophyletic
Pa_5_12300	pauciseta	Monophyletic
Pa_5_12300	comata	Monophyletic
Pa_5_12300	pseudoanserina	Monophyletic
Pa_5_12300	All	Monophyletic
Pa_5_1270	anserina	Monophyletic
Pa_5_1270	pauciseta	Monophyletic
Pa_5_1270	comata	Monophyletic
Pa_5_1270	pseudoanserina	Monophyletic
Pa_5_1270	All	Monophyletic
Pa_5_140	anserina	Monophyletic
Pa_5_140	pauciseta	Monophyletic
Pa_5_140	comata	Monophyletic
Pa_5_140	pseudoanserina	Monophyletic
Pa_5_140	All	Monophyletic
Pa_5_1750	anserina	Monophyletic
Pa_5_1750	pauciseta	Monophyletic
Pa_5_1750	comata	Monophyletic
Pa_5_1750	pseudoanserina	Monophyletic
Pa_5_1750	All	Monophyletic
Pa_5_2690	anserina	Monophyletic
Pa_5_2690	pauciseta	Monophyletic
Pa_5_2690	comata	Monophyletic
Pa_5_2690	pseudoanserina	Monophyletic
Pa_5_2690	All	Monophyletic
Pa_5_3030	anserina	Monophyletic
Pa_5_3030	pauciseta	Monophyletic
Pa_5_3030	comata	Monophyletic
Pa_5_3030	pseudoanserina	Monophyletic
Pa_5_3030	All	Monophyletic
Pa_5_3840	anserina	Not_monophyletic
Pa_5_3840	pauciseta	Monophyletic
Pa_5_3840	comata	Monophyletic
Pa_5_3840	pseudoanserina	Monophyletic
Pa_5_3840	All	Not_monophyletic
Pa_5_4730	anserina	Monophyletic
Pa_5_4730	pauciseta	Monophyletic
Pa_5_4730	comata	Monophyletic
Pa_5_4730	pseudoanserina	Monophyletic
Pa_5_4730	All	Monophyletic
Pa_5_5570	anserina	Monophyletic
Pa_5_5570	pauciseta	Monophyletic
Pa_5_5570	comata	Monophyletic
Pa_5_5570	pseudoanserina	Monophyletic
Pa_5_5570	All	Monophyletic
Pa_5_5690	anserina	Monophyletic
Pa_5_5690	pauciseta	Monophyletic
Pa_5_5690	comata	Monophyletic
Pa_5_5690	pseudoanserina	Monophyletic
Pa_5_5690	All	Monophyletic
Pa_5_6300	anserina	Monophyletic
Pa_5_6300	pauciseta	Monophyletic
Pa_5_6300	comata	Monophyletic
Pa_5_6300	pseudoanserina	Monophyletic
Pa_5_6300	All	Monophyletic
Pa_5_670	anserina	Monophyletic
Pa_5_670	pauciseta	Monophyletic
Pa_5_670	comata	Monophyletic
Pa_5_670	pseudoanserina	Monophyletic
Pa_5_670	All	Monophyletic
Pa_5_6830	anserina	Monophyletic
Pa_5_6830	pauciseta	Monophyletic
Pa_5_6830	comata	Monophyletic
Pa_5_6830	pseudoanserina	Monophyletic
Pa_5_6830	All	Monophyletic
Pa_5_7040	anserina	Monophyletic
Pa_5_7040	pauciseta	Monophyletic
Pa_5_7040	comata	Monophyletic
Pa_5_7040	pseudoanserina	Monophyletic
Pa_5_7040	All	Monophyletic
Pa_5_8380	anserina	Not_monophyletic
Pa_5_8380	pauciseta	Not_monophyletic
Pa_5_8380	comata	Monophyletic
Pa_5_8380	pseudoanserina	Monophyletic
Pa_5_8380	All	Not_monophyletic
Pa_6_10690	anserina	Monophyletic
Pa_6_10690	pauciseta	Monophyletic
Pa_6_10690	comata	Monophyletic
Pa_6_10690	pseudoanserina	Monophyletic
Pa_6_10690	All	Monophyletic
Pa_6_10850	anserina	Monophyletic
Pa_6_10850	pauciseta	Monophyletic
Pa_6_10850	comata	Monophyletic
Pa_6_10850	pseudoanserina	Monophyletic
Pa_6_10850	All	Monophyletic
Pa_6_1210	anserina	Monophyletic
Pa_6_1210	pauciseta	Monophyletic
Pa_6_1210	comata	Monophyletic
Pa_6_1210	pseudoanserina	Monophyletic
Pa_6_1210	All	Monophyletic
Pa_6_2760	anserina	Monophyletic
Pa_6_2760	pauciseta	Monophyletic
Pa_6_2760	comata	Monophyletic
Pa_6_2760	pseudoanserina	Monophyletic
Pa_6_2760	All	Monophyletic
Pa_6_3070	anserina	Monophyletic
Pa_6_3070	pauciseta	Monophyletic
Pa_6_3070	comata	Monophyletic
Pa_6_3070	pseudoanserina	Monophyletic
Pa_6_3070	All	Monophyletic
Pa_6_3220	anserina	Monophyletic
Pa_6_3220	pauciseta	Monophyletic
Pa_6_3220	comata	Monophyletic
Pa_6_3220	pseudoanserina	Monophyletic
Pa_6_3220	All	Monophyletic
Pa_6_3340	anserina	Monophyletic
Pa_6_3340	pauciseta	Monophyletic
Pa_6_3340	comata	Monophyletic
Pa_6_3340	pseudoanserina	Monophyletic
Pa_6_3340	All	Monophyletic
Pa_6_4130	anserina	Monophyletic
Pa_6_4130	pauciseta	Monophyletic
Pa_6_4130	comata	Monophyletic
Pa_6_4130	pseudoanserina	Monophyletic
Pa_6_4130	All	Monophyletic
Pa_6_4250	anserina	Monophyletic
Pa_6_4250	pauciseta	Monophyletic
Pa_6_4250	comata	Monophyletic
Pa_6_4250	pseudoanserina	Monophyletic
Pa_6_4250	All	Monophyletic
Pa_6_5720	anserina	Monophyletic
Pa_6_5720	pauciseta	Monophyletic
Pa_6_5720	comata	Monophyletic
Pa_6_5720	pseudoanserina	Monophyletic
Pa_6_5720	All	Monophyletic
Pa_6_5880	anserina	Monophyletic
Pa_6_5880	pauciseta	Monophyletic
Pa_6_5880	comata	Monophyletic
Pa_6_5880	pseudoanserina	Monophyletic
Pa_6_5880	All	Monophyletic
Pa_6_6010	anserina	Monophyletic
Pa_6_6010	pauciseta	Monophyletic
Pa_6_6010	comata	Monophyletic
Pa_6_6010	pseudoanserina	Monophyletic
Pa_6_6010	All	Monophyletic
Pa_6_6860	anserina	Monophyletic
Pa_6_6860	pauciseta	Monophyletic
Pa_6_6860	comata	Monophyletic
Pa_6_6860	pseudoanserina	Monophyletic
Pa_6_6860	All	Monophyletic
Pa_6_7100	anserina	Not_monophyletic
Pa_6_7100	pauciseta	Not_monophyletic
Pa_6_7100	comata	Monophyletic
Pa_6_7100	pseudoanserina	Monophyletic
Pa_6_7100	All	Not_monophyletic
Pa_6_7770	anserina	Not_monophyletic
Pa_6_7770	pauciseta	Monophyletic
Pa_6_7770	comata	Not_monophyletic
Pa_6_7770	pseudoanserina	Monophyletic
Pa_6_7770	All	Not_monophyletic
Pa_6_8460	anserina	Monophyletic
Pa_6_8460	pauciseta	Monophyletic
Pa_6_8460	comata	Monophyletic
Pa_6_8460	pseudoanserina	Monophyletic
Pa_6_8460	All	Monophyletic
Pa_7_11300	anserina	Monophyletic
Pa_7_11300	pauciseta	Monophyletic
Pa_7_11300	comata	Monophyletic
Pa_7_11300	pseudoanserina	Monophyletic
Pa_7_11300	All	Monophyletic
Pa_7_11560	anserina	Monophyletic
Pa_7_11560	pauciseta	Monophyletic
Pa_7_11560	comata	Monophyletic
Pa_7_11560	pseudoanserina	Monophyletic
Pa_7_11560	All	Monophyletic
Pa_7_2690	anserina	Monophyletic
Pa_7_2690	pauciseta	Monophyletic
Pa_7_2690	comata	Monophyletic
Pa_7_2690	pseudoanserina	Monophyletic
Pa_7_2690	All	Monophyletic
Pa_7_2990	anserina	Not_monophyletic
Pa_7_2990	pauciseta	Not_monophyletic
Pa_7_2990	comata	Monophyletic
Pa_7_2990	pseudoanserina	Monophyletic
Pa_7_2990	All	Not_monophyletic
Pa_7_3720	anserina	Monophyletic
Pa_7_3720	pauciseta	Monophyletic
Pa_7_3720	comata	Monophyletic
Pa_7_3720	pseudoanserina	Monophyletic
Pa_7_3720	All	Monophyletic
Pa_7_4040	anserina	Monophyletic
Pa_7_4040	pauciseta	Monophyletic
Pa_7_4040	comata	Monophyletic
Pa_7_4040	pseudoanserina	Monophyletic
Pa_7_4040	All	Monophyletic
Pa_7_4900	anserina	Monophyletic
Pa_7_4900	pauciseta	Monophyletic
Pa_7_4900	comata	Monophyletic
Pa_7_4900	pseudoanserina	Monophyletic
Pa_7_4900	All	Monophyletic
Pa_7_7260	anserina	Monophyletic
Pa_7_7260	pauciseta	Monophyletic
Pa_7_7260	comata	Monophyletic
Pa_7_7260	pseudoanserina	Monophyletic
Pa_7_7260	All	Monophyletic
Pa_7_9193	anserina	Not_monophyletic
Pa_7_9193	pauciseta	Monophyletic
Pa_7_9193	comata	Monophyletic
Pa_7_9193	pseudoanserina	Monophyletic
Pa_7_9193	All	Not_monophyletic
Pa_7_9920	anserina	Monophyletic
Pa_7_9920	pauciseta	Monophyletic
Pa_7_9920	comata	Monophyletic
Pa_7_9920	pseudoanserina	Monophyletic
Pa_7_9920	All	Monophyletic
nwd5	anserina	Not_monophyletic
nwd5	pauciseta	Not_monophyletic
nwd5	comata	Monophyletic
nwd5	pseudoanserina	Monophyletic
nwd5	All	Not_monophyletic
nwd2	anserina	Not_monophyletic
nwd2	pauciseta	Not_monophyletic
nwd2	comata	Monophyletic
nwd2	pseudoanserina	Monophyletic
nwd2	All	Not_monophyletic
nwd3	anserina	Monophyletic
nwd3	pauciseta	Monophyletic
nwd3	comata	Monophyletic
nwd3	pseudoanserina	Monophyletic
nwd3	All	Monophyletic
nwd1	anserina	Monophyletic
nwd1	pauciseta	Monophyletic
nwd1	comata	Absent
nwd1	pseudoanserina	Monophyletic
nwd1	All	Monophyletic
het-e	anserina	Not_monophyletic
het-e	pauciseta	Not_monophyletic
het-e	comata	Monophyletic
het-e	pseudoanserina	Monophyletic
het-e	All	Not_monophyletic
hnwd3	anserina	Not_monophyletic
hnwd3	pauciseta	Not_monophyletic
hnwd3	comata	Absent
hnwd3	pseudoanserina	Absent
hnwd3	All	Not_monophyletic
nwd6	anserina	Not_monophyletic
nwd6	pauciseta	NA
nwd6	comata	Monophyletic
nwd6	pseudoanserina	Monophyletic
nwd6	All	Not_monophyletic
nwdp-2	anserina	Monophyletic
nwdp-2	pauciseta	Absent
nwdp-2	comata	Absent
nwdp-2	pseudoanserina	Absent
nwdp-2	All	Monophyletic
het-d	anserina	Monophyletic
het-d	pauciseta	Absent
het-d	comata	Absent
het-d	pseudoanserina	Absent
het-d	All	Monophyletic
hnwd1	anserina	Not_monophyletic
hnwd1	pauciseta	Monophyletic
hnwd1	comata	Not_monophyletic
hnwd1	pseudoanserina	Monophyletic
hnwd1	All	Not_monophyletic
het-r	anserina	Monophyletic
het-r	pauciseta	Monophyletic
het-r	comata	Monophyletic
het-r	pseudoanserina	Monophyletic
het-r	All	Monophyletic
Pa_2_8180	anserina	Not_monophyletic
Pa_2_8180	pauciseta	Monophyletic
Pa_2_8180	comata	Monophyletic
Pa_2_8180	pseudoanserina	Not_monophyletic
Pa_2_8180	All	Not_monophyletic
Pa_3_8560	anserina	Monophyletic
Pa_3_8560	pauciseta	Absent
Pa_3_8560	comata	Monophyletic
Pa_3_8560	pseudoanserina	Monophyletic
Pa_3_8560	All	Monophyletic
Pa_6_7270	anserina	Monophyletic
Pa_6_7270	pauciseta	Not_monophyletic
Pa_6_7270	comata	Absent
Pa_6_7270	pseudoanserina	Monophyletic
Pa_6_7270	All	Not_monophyletic
Pa_7_10370	anserina	Monophyletic
Pa_7_10370	pauciseta	Monophyletic
Pa_7_10370	comata	Monophyletic
Pa_7_10370	pseudoanserina	Monophyletic
Pa_7_10370	All	Monophyletic
Pa_2_10340	anserina	Monophyletic
Pa_2_10340	pauciseta	Monophyletic
Pa_2_10340	comata	Monophyletic
Pa_2_10340	pseudoanserina	Monophyletic
Pa_2_10340	All	Monophyletic
Pa_6_7950+Pa_6_7955	anserina	Not_monophyletic
Pa_6_7950+Pa_6_7955	pauciseta	Monophyletic
Pa_6_7950+Pa_6_7955	comata	Not_monophyletic
Pa_6_7950+Pa_6_7955	pseudoanserina	Monophyletic
Pa_6_7950+Pa_6_7955	All	Not_monophyletic
PaPnt1	anserina	Not_monophyletic
PaPnt1	pauciseta	Not_monophyletic
PaPnt1	comata	Monophyletic
PaPnt1	pseudoanserina	Absent
PaPnt1	All	Not_monophyletic
Pa_7_3550	anserina	Not_monophyletic
Pa_7_3550	pauciseta	Not_monophyletic
Pa_7_3550	comata	Monophyletic
Pa_7_3550	pseudoanserina	Not_monophyletic
Pa_7_3550	All	Not_monophyletic
Pa_6_8850+Pa_6_8860	anserina	Monophyletic
Pa_6_8850+Pa_6_8860	pauciseta	Absent
Pa_6_8850+Pa_6_8860	comata	Monophyletic
Pa_6_8850+Pa_6_8860	pseudoanserina	Absent
Pa_6_8850+Pa_6_8860	All	Monophyletic
PaFnt1	anserina	Monophyletic
PaFnt1	pauciseta	NA
PaFnt1	comata	Monophyletic
PaFnt1	pseudoanserina	Monophyletic
PaFnt1	All	Monophyletic
Pa_3_8170	anserina	Not_monophyletic
Pa_3_8170	pauciseta	Monophyletic
Pa_3_8170	comata	Monophyletic
Pa_3_8170	pseudoanserina	Monophyletic
Pa_3_8170	All	Not_monophyletic
Pa_2_8310	anserina	Monophyletic
Pa_2_8310	pauciseta	Monophyletic
Pa_2_8310	comata	Monophyletic
Pa_2_8310	pseudoanserina	Monophyletic
Pa_2_8310	All	Monophyletic
Pa_4_4680	anserina	Monophyletic
Pa_4_4680	pauciseta	Monophyletic
Pa_4_4680	comata	Monophyletic
Pa_4_4680	pseudoanserina	Monophyletic
Pa_4_4680	All	Monophyletic
Pa_5_8530	anserina	Monophyletic
Pa_5_8530	pauciseta	Monophyletic
Pa_5_8530	comata	Monophyletic
Pa_5_8530	pseudoanserina	Monophyletic
Pa_5_8530	All	Monophyletic
Pa_2_8450	anserina	Monophyletic
Pa_2_8450	pauciseta	Monophyletic
Pa_2_8450	comata	Monophyletic
Pa_2_8450	pseudoanserina	Monophyletic
Pa_2_8450	All	Monophyletic
Pa_5_12630	anserina	Monophyletic
Pa_5_12630	pauciseta	Not_monophyletic
Pa_5_12630	comata	Monophyletic
Pa_5_12630	pseudoanserina	Monophyletic
Pa_5_12630	All	Not_monophyletic
Pa_6_1090	anserina	Monophyletic
Pa_6_1090	pauciseta	Monophyletic
Pa_6_1090	comata	Monophyletic
Pa_6_1090	pseudoanserina	Monophyletic
Pa_6_1090	All	Monophyletic
Pa_5_10920	anserina	Monophyletic
Pa_5_10920	pauciseta	Monophyletic
Pa_5_10920	comata	Monophyletic
Pa_5_10920	pseudoanserina	Monophyletic
Pa_5_10920	All	Monophyletic
nwd4	anserina	Monophyletic
nwd4	pauciseta	Monophyletic
nwd4	comata	Monophyletic
nwd4	pseudoanserina	Monophyletic
nwd4	All	Monophyletic
Pa_5_7640	anserina	Not_monophyletic
Pa_5_7640	pauciseta	Monophyletic
Pa_5_7640	comata	Absent
Pa_5_7640	pseudoanserina	Absent
Pa_5_7640	All	Not_monophyletic
Pa_1_400	anserina	Monophyletic
Pa_1_400	pauciseta	Monophyletic
Pa_1_400	comata	Monophyletic
Pa_1_400	pseudoanserina	Monophyletic
Pa_1_400	All	Monophyletic
Pa_3_9600	anserina	Monophyletic
Pa_3_9600	pauciseta	Monophyletic
Pa_3_9600	comata	Monophyletic
Pa_3_9600	pseudoanserina	Monophyletic
Pa_3_9600	All	Monophyletic
Pa_3_9890	anserina	Monophyletic
Pa_3_9890	pauciseta	Monophyletic
Pa_3_9890	comata	Monophyletic
Pa_3_9890	pseudoanserina	Monophyletic
Pa_3_9890	All	Monophyletic
Pa_4_1040	anserina	Monophyletic
Pa_4_1040	pauciseta	Monophyletic
Pa_4_1040	comata	Not_monophyletic
Pa_4_1040	pseudoanserina	Monophyletic
Pa_4_1040	All	Not_monophyletic
Pa_1_7130	anserina	Monophyletic
Pa_1_7130	pauciseta	Monophyletic
Pa_1_7130	comata	Monophyletic
Pa_1_7130	pseudoanserina	Monophyletic
Pa_1_7130	All	Monophyletic
Pa_5_640+Pa_5_630	anserina	Monophyletic
Pa_5_640+Pa_5_630	pauciseta	Monophyletic
Pa_5_640+Pa_5_630	comata	Monophyletic
