Ortholog	Type	Chr	avgGC	TajimasD	Pi_anserina	piN	piS	piNpiS	sites_S	num_sites_S	sites_NS	num_sites_NS	N_seqs	nseff	lseff
Pa_4_1100	Random	4	0.583078	-1.831414	0.00085957	0.000619	0.001635	0.378590	1	376	1	1202	13	13.000000	1581
Pa_4_2540	Random	4	0.579041	NA	0.00000000	0.000000	0.000000	0.000000	0	411	0	1278	13	13.000000	1689
Pa_4_280	Random	4	0.506623	NA	0.00000000	0.000000	0.000000	0.000000	0	404	0	1408	13	13.000000	1812
Pa_4_290	Random	4	0.609428	NA	0.00000000	0.000000	0.000000	0.000000	0	290	0	898	13	13.000000	1188
Pa_4_3470	Random	4	0.568906	-1.863114	0.00067654	0.000353	0.001737	0.203290	0	266	0	871	13	13.000000	1137
Pa_4_7380	Random	4	0.564345	-1.149147	0.00004842	0.000000	0.000207	0.000000	0	744	0	2433	13	13.000000	3177
Pa_4_7600	Random	4	0.573450	-1.468006	0.00015017	0.000100	0.000300	0.333984	0	513	0	1536	13	13.000000	2049
Pa_5_10620	Random	5	0.483765	-1.652312	0.00018625	0.000241	0.000000	NA	0	561	0	1917	13	13.000000	2478
Pa_5_10740	Random	5	0.538080	1.300452	0.00050875	0.000000	0.002236	0.000000	1	229	0	779	13	13.000000	1008
Pa_5_11550	Random	5	0.607239	-0.394391	0.00077915	0.000000	0.003601	0.000000	1	235	0	851	13	13.000000	1086
Pa_5_11813	Random	5	0.502937	0.950509	0.00023815	0.000306	0.000000	NA	0	432	0	1506	13	13.000000	1938
Pa_5_12300	Random	5	0.525840	-1.149147	0.00013286	0.000176	0.000000	NA	0	282	0	873	13	13.000000	1158
Pa_5_1270	Random	5	0.597454	-1.468006	0.00023908	0.000156	0.000511	0.305308	0	301	0	986	13	13.000000	1287
Pa_5_140	Random	5	0.555556	NA	0.00000000	0.000000	0.000000	0.000000	0	344	0	1258	13	13.000000	1602
Pa_5_1750	Random	5	0.570134	-1.149147	0.00006186	0.000000	0.000270	0.000000	0	571	0	1916	13	13.000000	2487
Pa_5_2690	Random	5	0.536677	NA	0.00000000	0.000000	0.000000	0.000000	0	670	0	2261	13	13.000000	2931
Pa_5_3030	Random	5	0.515021	NA	0.00000000	0.000000	0.000000	0.000000	0	400	0	1295	13	13.000000	1695
Pa_5_3840	Random	5	0.609996	-0.462159	0.00049858	0.000000	0.002047	0.000000	1	263	0	823	13	13.000000	1080
Pa_5_4730	Random	5	0.550889	NA	0.00000000	0.000000	0.000000	0.000000	0	413	0	1444	13	13.000000	1857
Pa_5_5570	Random	5	0.552642	-1.149147	0.00006112	0.000081	0.000000	NA	0	624	0	1893	13	13.000000	2517
Pa_5_5690	Random	5	0.600310	-1.149147	0.00014779	0.000000	0.000607	0.000000	0	253	0	788	13	13.000000	1041
Pa_5_6300	Random	5	0.557462	-1.149147	0.00004190	0.000000	0.000184	0.000000	0	837	0	2835	13	13.000000	3672
Pa_5_670	Random	5	0.565093	-1.149147	0.00011005	0.000000	0.000503	0.000000	0	306	0	1092	13	13.000000	1398
Pa_5_6830	Random	5	0.577106	-1.850407	0.00022486	0.000164	0.000418	0.391951	1	2886	1	9087	13	13.000000	11973
Pa_5_7040	Random	5	0.599068	-1.149147	0.00013320	0.000173	0.000000	NA	0	266	0	889	13	13.000000	1155
Pa_5_8380	Random	5	0.567541	-1.468006	0.00005230	0.000000	0.000234	0.000000	0	1314	0	4569	13	13.000000	5883
Pa_6_10690	Random	6	0.550943	-0.478252	0.00051605	0.000675	0.000000	NA	0	375	1	1215	13	13.000000	1590
Pa_6_10850	Random	6	0.531291	0.950509	0.00019207	0.000250	0.000000	NA	0	554	0	1849	13	13.000000	2403
Pa_6_1210	Random	6	0.562929	NA	0.00000000	0.000000	0.000000	0.000000	0	614	0	2008	13	13.000000	2622
Pa_6_2760	Random	6	0.560459	-1.149147	0.00013495	0.000175	0.000000	NA	0	263	0	877	13	13.000000	1140
Pa_6_3070	Random	6	0.531130	-1.149147	0.00007368	0.000095	0.000000	NA	0	468	0	1620	13	13.000000	2088
Pa_6_3220	Random	6	0.556094	-0.126877	0.00053839	0.000000	0.002112	0.000000	1	291	0	852	13	13.000000	1143
Pa_6_3340	Random	6	0.567592	2.121452	0.00077143	0.000339	0.002128	0.159309	1	506	1	1588	13	13.000000	2094
Pa_6_4130	Random	6	0.528955	NA	0.00000000	0.000000	0.000000	0.000000	0	339	0	1077	13	13.000000	1416
Pa_6_4250	Random	6	0.575340	0.950509	0.00017113	0.000225	0.000000	NA	0	648	0	2049	13	13.000000	2697
Pa_6_5720	Random	6	0.584585	-1.652312	0.00015024	0.000132	0.000208	0.635373	0	741	0	2331	13	13.000000	3072
Pa_6_5880	Random	6	0.570635	-0.274290	0.00022385	0.000289	0.000000	NA	0	285	0	975	13	13.000000	1260
Pa_6_6010	Random	6	0.581560	NA	0.00000000	0.000000	0.000000	0.000000	0	209	0	637	13	13.000000	846
Pa_6_6860	Random	6	0.598885	-0.394391	0.00081754	0.000000	0.003367	0.000000	1	251	0	784	13	13.000000	1035
Pa_6_7100	Random	6	0.557767	-0.126877	0.00059630	0.000000	0.002600	0.000000	1	237	0	795	13	13.000000	1032
Pa_6_7770	Random	6	0.542531	0.950509	0.00023705	0.000315	0.000000	NA	0	482	0	1465	13	13.000000	1947
Pa_6_8460	Random	6	0.556847	-1.149147	0.00008245	0.000000	0.000354	0.000000	0	435	0	1431	13	13.000000	1866
Pa_7_11300	Random	7	0.579710	NA	0.00000000	0.000000	0.000000	0.000000	0	352	0	1235	13	13.000000	1587
Pa_7_11560	Random	7	0.553119	-1.149147	0.00010216	0.000136	0.000000	NA	0	372	0	1134	13	12.988048	1506
Pa_7_2690	Random	7	0.544417	NA	0.00000000	0.000000	0.000000	0.000000	0	557	0	1897	13	13.000000	2454
Pa_7_2990	Random	7	0.560101	1.416234	0.00388650	0.002914	0.005253	0.554749	2	366	3	1188	13	13.000000	1557
Pa_7_3720	Random	7	0.516963	-1.149147	0.00008721	0.000113	0.000000	NA	0	405	0	1359	13	13.000000	1764
Pa_7_4040	Random	7	0.500661	-1.233005	0.00019502	0.000130	0.000423	0.308165	0	666	0	2358	13	13.000000	3024
Pa_7_4900	Random	7	0.558923	NA	0.00000000	0.000000	0.000000	0.000000	0	348	0	1137	13	13.000000	1485
Pa_7_7260	Random	7	0.587555	NA	0.00000000	0.000000	0.000000	0.000000	0	777	0	2421	13	13.000000	3198
Pa_7_9193	Random	7	0.595012	-0.015427	0.00267102	0.002638	0.002728	0.967111	1	478	4	1331	13	12.845258	1803
Pa_7_9920	Random	7	0.578089	1.300452	0.00035318	0.000464	0.000000	NA	0	347	1	1105	13	13.000000	1452
nwd5	NLR_HIC	5	0.489781	2.615248	0.02521525	0.019911	0.028496	0.698741	21	743	50	2509	13	13.000000	3252
nwd2	NLR_HIC	3	0.516494	2.552683	0.01257550	0.010288	0.012694	0.810468	7	521	18	1726	13	12.987556	2250
nwd3	NLR_HIC	5	0.521720	0.341815	0.00404229	0.002617	0.004084	0.640806	3	720	6	2280	13	12.745509	3006
nwd1	NLR_HIC	3	0.537559	0.248818	0.00087015	0.000755	0.000621	1.215299	0	743	2	2410	13	13.000000	3153
het-e	NLR_HIC	4	0.498127	1.843306	0.00375405	0.003036	0.005433	0.558930	4	665	7	2272	13	13.000000	2937
hnwd3	NLR_HIC	7	0.491453	0.448986	0.00109443	0.001181	0.000687	1.719128	0	672	3	2280	13	13.000000	2952
nwd6	NLR_HIC	5	0.469123	-0.270236	0.09250591	0.056013	0.097648	0.573623	67	688	126	2249	13	12.995556	3375
nwdp-2	NLR_HIC	3	0.286726	0.613576	0.09366105	0.058992	0.102483	0.575630	68	667	144	2435	11	10.742222	3375
het-d	NLR_HIC	2	0.504434	-1.788855	0.00323304	0.002410	0.004534	0.531557	3	645	5	2223	13	13.000000	2871
hnwd1	NLR_HIC	4	0.502170	-0.804841	0.00080887	0.000834	0.000722	1.155487	0	639	2	2214	13	13.000000	2853
het-r	NLR_HIC	2	0.516197	0.179392	0.00060396	0.000179	0.001422	0.125645	1	649	0	2153	13	13.000000	2802
Pa_2_8180	NLR_HIC	2	0.524508	1.220731	0.01181961	0.009562	0.013540	0.706224	10	715	22	2333	13	12.445102	3042
Pa_3_8560	NLR_HIC	3	0.523119	0.931495	0.00387067	0.001560	0.011572	0.134787	8	676	4	2252	13	13.000000	2928
Pa_6_7270	NLR_HIC	6	0.503006	-0.626362	0.00031121	0.000238	0.000553	0.429562	0	788	1	2590	13	13.000000	3378
Pa_7_10370	NLR_HIC	7	0.491955	-1.182279	0.00026376	0.000195	0.000497	0.392560	0	929	1	3154	13	12.999755	4083
Pa_2_10340	NLR_HIC	2	0.533678	-0.136000	0.00712060	0.005041	0.011302	0.446032	6	526	9	1712	13	12.989276	2238
Pa_6_7950+Pa_6_7955	NLR_HIC	6	0.517551	-0.447736	0.00207694	0.001421	0.003723	0.381529	2	544	3	1814	13	13.000000	2358
PaPnt1	NLR_HIC	5	0.550919	-0.681716	0.00399129	0.003266	0.003732	0.874904	2	440	5	1468	13	13.000000	1908
Pa_7_3550	NLR_HIC	7	0.528973	-0.909202	0.00016493	0.000139	0.000253	0.548138	0	608	0	2035	13	13.000000	2643
Pa_6_8850+Pa_6_8860	NLR_HIC	6	0.547716	0.204604	0.00220061	0.001405	0.003734	0.376118	2	611	3	1999	13	13.000000	2610
PaFnt1	NLR_HIC	3	0.566177	1.848374	0.02481499	0.014328	0.027101	0.528690	12	451	22	1502	13	12.577573	1953
Pa_3_8170	NLR_HIC	3	0.515423	2.640080	0.10946072	0.061417	0.094002	0.653364	61	650	131	2140	13	12.798274	2781
Pa_2_8310	NLR	2	0.511047	-1.378404	0.00022989	0.000235	0.000213	1.104762	0	1446	1	4800	13	13.000000	6246
Pa_4_4680	NLR	4	0.506645	-1.550848	0.00029835	0.000261	0.000276	0.943479	0	1020	1	3441	13	12.895055	4469
Pa_5_8530	NLR	5	0.538254	0.264592	0.00092887	0.001051	0.000531	1.981396	0	870	3	2829	13	13.000000	3699
Pa_2_8450	NLR	2	0.497216	-0.460610	0.00050411	0.000597	0.000197	3.026516	0	780	2	2577	13	13.000000	3357
Pa_5_12630	NLR	5	0.494334	-1.468006	0.00009603	0.000125	0.000000	NA	0	741	0	2463	13	13.000000	3204
Pa_6_1090	NLR	6	0.542657	-0.950320	0.00021875	0.000116	0.000571	0.203194	1	1482	1	5082	13	13.000000	6564
Pa_5_10920	NLR	5	0.526732	-1.774967	0.00015183	0.000050	0.000162	0.306581	0	950	0	3100	13	13.000000	4053
nwd4	NLR	5	0.510385	-1.149147	0.00003258	0.000000	0.000139	0.000000	0	1111	0	3611	13	12.999788	4722
Pa_5_7640	NLR	5	0.512191	-0.660626	0.00021918	0.000206	0.000262	0.784723	0	1155	1	3753	12	12.000000	4908
Pa_1_400	NLR	1	0.515531	-0.589315	0.00081253	0.000715	0.001126	0.635465	1	1071	2	3333	13	13.000000	4418
Pa_3_9600	NLR	3	0.512596	-2.217452	0.00053918	0.000273	0.001419	0.192383	2	1192	1	3944	13	13.000000	5136
Pa_3_9890	NLR	3	0.506309	1.241842	0.00579983	0.004832	0.008603	0.561641	9	993	16	3258	13	12.915354	4253
Pa_4_1040	NLR	4	0.528586	-0.909202	0.00008303	0.000070	0.000124	0.567807	0	1241	0	4009	13	13.000000	5250
Pa_1_7130	NLR	1	0.489793	-1.468006	0.00008298	0.000108	0.000000	NA	0	858	0	2850	13	13.000000	3708
Pa_5_640+Pa_5_630	NLR	5	0.495241	-1.149147	0.00004288	0.000000	0.000191	0.000000	0	804	0	2784	13	13.000000	3588
Pa_7_5020	NLR	7	0.523606	-1.149147	0.00004903	0.000063	0.000000	NA	0	709	0	2429	13	13.000000	3138
Pa_5_11700	NLR	5	0.529149	-0.897559	0.00021999	0.000161	0.000408	0.394086	0	754	0	2393	13	13.000000	3147
Pa_1_10530	NLR	1	0.553939	NA	0.00000000	0.000000	0.000000	0.000000	0	367	0	1283	13	13.000000	1650
Pa_2_10310	NLR	2	0.501410	-0.598684	0.00054338	0.000173	0.001830	0.094462	2	897	1	3114	13	13.000000	4011
Pa_6_2410+Pa_6_2405	NLR	6	0.536874	-1.342087	0.00024655	0.000279	0.000135	2.062942	0	1136	1	3853	13	13.000000	4992
Pa_4_6095+Pa_4_6090	NLR	4	0.497203	-1.983348	0.00090952	0.000894	0.000966	0.925920	1	637	2	2150	13	13.000000	2791
Pa_7_3660	NLR	7	0.513885	-0.754436	0.00043459	0.000302	0.000874	0.345169	1	821	1	2719	13	13.000000	3540
Pa_5_10133+Pa_5_10134	NLR	5	0.489604	-1.468006	0.00010785	0.000000	0.000484	0.000000	0	635	0	2203	13	12.997897	2853
Pa_1_15280+Pa_1_15290	NLR	1	0.535538	-1.774967	0.00013234	0.000085	0.000294	0.288905	0	1048	0	3626	13	12.975484	4650
Pa_5_8000	NLR	5	0.495252	-0.829057	0.00030073	0.000112	0.000966	0.115641	1	716	0	2524	13	13.000000	3240
Pa_5_340	NLR	5	0.491528	-0.153330	0.00125193	0.001268	0.001196	1.059612	1	600	3	2124	13	12.999266	2724
Pa_5_12660	NLR	5	0.503342	0.432256	0.00073026	0.000893	0.000193	4.629394	0	798	2	2643	13	13.000000	3441
Pa_5_7560	NLR	5	0.524352	-1.140533	0.00004103	0.000000	0.000177	0.000000	0	940	0	3122	12	12.000000	4062
Pa_1_11370	NLR	1	0.516797	1.122161	0.00183861	0.001231	0.003914	0.314428	4	957	4	3243	13	12.651058	4207
Pa_2_4490+Pa_2_4500	NLR	2	0.530635	-1.149147	0.00004119	0.000053	0.000000	NA	0	855	0	2880	13	13.000000	3735
Pa_5_8190+Pa_5_8200	NLR	5	0.563807	-1.638800	0.00035715	0.000330	0.000444	0.744857	0	983	1	3181	13	13.000000	4164
PaPlp1	NLR	1	0.514278	1.986914	0.06227809	0.034240	0.092268	0.371095	85	926	111	3235	13	12.941685	4167
