Ortholog	Species	Method	Ka	Ks	KaKs	p_val	Length	S_Sites	N_Sites	Fold_Sites	Substitutions	S_Substitutions	N_Substitutions	Fold_S_Substitutions	Fold_N_Substitutions	Divergence_Time	Substitution_Rate_Ratio	GC	ML_Score	AICc	Akaike_Weight	Model
Pa_1_15090	pseudoanserina	MA	0.00124555	0.0201416	0.0618397	0.00227287	1161	253.659	907.341	NA	6	4.91319	1.08681	NA	NA	0.00537402	7.74667:5.20052:13.6131:7.72642:30:1	0.272337(0.273196:0.228093:0.315722)	-1566.46	NA	NA	NA
Pa_1_15090	pauciseta	MA	0.00148563	0.00888515	0.167204	0.0577731	1161	314.613	846.387	NA	4	2.75896	1.24104	NA	NA	0.00349079	30:21.3833:17.6045:17.6045:0.01:1	0.271048(0.273196:0.226804:0.313144)	-1556.04	NA	NA	NA
Pa_1_15090	pseudopauciseta	MA	0.00274809	0.0254196	0.108109	0.000789458	1161	269.555	891.445	NA	9	6.6297	2.3703	NA	NA	0.00801185	10.5677:7.1861:13.0794:9.90444:19.2325:1	0.271048(0.273196:0.226804:0.313144)	-1583.95	NA	NA	NA
Pa_1_15090	pseudocomata	MA	1.45601e-05	0.0145601	0.001	0	1161	345.239	815.761	NA	5	4.98821	0.0117866	NA	NA	0.00433988	28.9111:26.7129:5.74413:5.74413:0.01:1	0.271478(0.273196:0.228093:0.313144)	-1557.28	NA	NA	NA
Pa_1_15090	comata	MA	0.00292332	0.0288012	0.1015	0.000162696	1161	301.964	859.036	NA	11	8.5354	2.4646	NA	NA	0.00965389	30:28.4534:21.6674:21.6674:0.01:1	0.237973(0.237113:0.208763:0.268041)	-1593.64	NA	NA	NA
Pa_1_15780	bellae-mahoneyi	MA	0.00426447	0.0301485	0.141448	0.00125363	1212	227.515	984.485	NA	11	6.82355	4.17645	NA	NA	0.00912339	5.41597:7.93384:2.85869:2.89318:0.01:1	0.279012(0.239506:0.204938:0.392593)	-1619	NA	NA	NA
Pa_1_15780	pseudoanserina	MA	2.5797e-05	0.025797	0.001	0	1206	231.611	974.389	NA	6	5.97486	0.0251363	NA	NA	0.00497512	22.3899:30:17.2247:17.2247:0.01:1	0.277366(0.237037:0.203704:0.391358)	-1578.72	NA	NA	NA
Pa_1_15780	pauciseta	MA	1.12679e-05	0.0112679	0.001	0	1212	265.297	946.703	NA	3	2.98933	0.0106673	NA	NA	0.00247525	30:19.5914:19.5684:19.5684:0.01:1	0.279424(0.239506:0.203704:0.395062)	-1568.56	NA	NA	NA
Pa_1_15780	pseudopauciseta	MA	1.86681e-05	0.0186681	0.001	0	1206	213.277	992.723	NA	4	3.98147	0.0185322	NA	NA	0.00331675	15.8876:30:11.6512:11.6512:0.01:1	0.278189(0.238272:0.203704:0.392593)	-1568.69	NA	NA	NA
Pa_1_15780	pseudocomata	MA	2.96763e-05	0.0296763	0.001	0	1206	201.361	1004.64	NA	6	5.97021	0.0297869	NA	NA	0.00497965	12.8036:30:7.55926:7.55926:0.01:1	0.276955(0.238272:0.202469:0.390123)	-1578.67	NA	NA	NA
Pa_1_15780	comata	MA	3.53656e-05	0.0353656	0.001	0	1212	225.222	986.778	NA	8	7.9651	0.034898	NA	NA	0.00660066	13.2108:18.4158:19.8269:19.9588:0.01:1	0.23251(0.201235:0.166667:0.32963)	-1596.54	NA	NA	NA
Pa_1_15810	bellae-mahoneyi	MA	7.99737e-05	0.0799737	0.001	0	1143	133.634	1009.37	NA	9	8.93253	0.0674691	NA	NA	0.00942079	0.500185:1.06851:0.941556:1.02093:0.01:1	0.286213(0.280105:0.183246:0.395288)	-1463.66	NA	NA	NA
Pa_1_15810	pseudoanserina	MA	8.97988e-05	0.0897988	0.001	0	1143	180.553	962.447	NA	14	13.9258	0.0742318	NA	NA	0.0142606	3.60511:1.96519:4.00741:4.87832:7.28091:1	0.285777(0.278796:0.183246:0.395288)	-1483.42	NA	NA	NA
Pa_1_15810	pauciseta	MA	0.000997054	0.04702	0.0212049	0	1143	152.418	990.582	NA	7	6.15215	0.847847	NA	NA	0.00713417	8.20134:17.0404:16.1949:16.842:0.01:1	0.286213(0.280105:0.184555:0.393979)	-1460.85	NA	NA	NA
Pa_1_15810	pseudopauciseta	MA	8.38305e-05	0.0838305	0.001	0	1143	177.325	965.675	NA	13	12.9296	0.0704119	NA	NA	0.0130763	3.37785:1.91293:4.02205:4.94379:7.60027:1	0.28534(0.278796:0.183246:0.393979)	-1480.14	NA	NA	NA
Pa_1_15810	pseudocomata	MA	4.67434e-05	0.0467434	0.001	0	1143	193.481	949.519	NA	8	7.96093	0.0390688	NA	NA	0.0079513	13.7906:8.64326:22.1568:22.6223:0.01:1	0.28534(0.280105:0.183246:0.39267)	-1460.94	NA	NA	NA
Pa_1_15810	comata	MA	0.00105423	0.0712102	0.0148044	0	1143	184.199	958.801	NA	12	11.1414	0.858568	NA	NA	0.0123601	2.77113:4.06045:1.36485:1.38246:0.01:1	0.259162(0.253927:0.171466:0.352094)	-1482.41	NA	NA	NA
Pa_1_16990	bellae-mahoneyi	MA	0.00525982	0.0281028	0.187164	4.75533e-06	2721	684.513	2036.49	NA	29	18.6276	10.3724	NA	NA	0.0110063	2.39135:2.27258:1.63806:1.64276:0.58814:1	0.299309(0.327511:0.255459:0.314956)	-3757.61	NA	NA	NA
Pa_1_16990	pseudoanserina	MA	0.00330977	0.0247584	0.133683	8.96529e-07	2721	722.035	1998.96	NA	24	17.5169	6.48307	NA	NA	0.00900131	3.18975:2.90114:1.63:1.66514:0.01:1	0.297853(0.322598:0.253275:0.317686)	-3718.24	NA	NA	NA
Pa_1_16990	pauciseta	MA	0.00385291	0.0101758	0.378634	0.0288559	2721	742.884	1978.12	NA	15	7.46935	7.53065	NA	NA	0.00557918	6.18999:5.18982:3.20432:3.24857:0.542651:1	0.297671(0.32369:0.251638:0.317686)	-3677.52	NA	NA	NA
Pa_1_16990	pseudopauciseta	MA	0.00425498	0.0257641	0.165151	3.29303e-06	2721	695.417	2025.58	NA	26	17.5552	8.44484	NA	NA	0.00975216	2.41542:2.32476:1.43493:1.39231:0.306693:1	0.299491(0.325328:0.254367:0.318777)	-3732.01	NA	NA	NA
Pa_1_16990	pseudocomata	MA	0.00335115	0.0174183	0.192392	0.000160115	2721	724.844	1996.16	NA	19	12.4197	6.58033	NA	NA	0.00709849	6.18221:5.97806:3.4426:3.4791:0.01:1	0.299491(0.324782:0.254367:0.319323)	-3696.18	NA	NA	NA
Pa_1_16990	comata	MA	0.00375344	0.0150395	0.249573	0.0018138	2721	712.483	2008.52	NA	18	10.5661	7.43386	NA	NA	0.00670865	3.71716:3.76286:2.03198:2.06314:0.01:1	0.258188(0.286572:0.224891:0.2631)	-3695.18	NA	NA	NA
Pa_1_19800	bellae-mahoneyi	MA	0.00536637	0.0186519	0.287711	0.000440305	3237	841.201	2395.8	NA	28	15.3895	12.6105	NA	NA	0.0088189	6.152:4.27742:3.18264:3.20541:0.64727:1	0.287558(0.285714:0.241475:0.335484)	-4528.29	NA	NA	NA
Pa_1_19800	pseudoanserina	MA	0.006677	0.0198843	0.335793	0.00158249	3237	830.122	2406.88	NA	32	16.214	15.786	NA	NA	0.010064	5.35304:4.95115:2.911:2.90097:0.558914:1	0.287097(0.284332:0.241475:0.335484)	-4553.91	NA	NA	NA
Pa_1_19800	pauciseta	MA	0.00366661	0.0170166	0.215473	0.000110803	3237	860.646	2376.35	NA	23	14.4205	8.57947	NA	NA	0.00721607	8.99211:6.12625:3.82274:3.98722:0.603914:1	0.287097(0.284332:0.240553:0.336406)	-4496.5	NA	NA	NA
Pa_1_19800	pseudopauciseta	MA	0.00445916	0.0189149	0.235749	0.000112312	3237	830.504	2406.5	NA	26	15.4476	10.5524	NA	NA	0.00816801	5.14234:4.52754:2.73715:2.7188:0.875706:1	0.287711(0.285714:0.241935:0.335484)	-4518.99	NA	NA	NA
Pa_1_19800	pseudocomata	MA	0.00638102	0.0195306	0.32672	0.00262114	3237	820.07	2416.93	NA	31	15.7928	15.2072	NA	NA	0.00971235	8.73927:8.7267:6.1893:6.28943:0.60218:1	0.287097(0.286636:0.240553:0.334101)	-4552.1	NA	NA	NA
Pa_1_19800	comata	MA	0.00669893	0.016679	0.401637	0.0148082	3237	785.769	2451.23	NA	29	12.8722	16.1278	NA	NA	0.00912156	12.4332:10.2534:12.4222:11.5797:10.9024:1	0.262826(0.256682:0.21659:0.315207)	-4542.5	NA	NA	NA
Pa_1_19870	bellae-mahoneyi	MA	0.00397367	0.0332113	0.119648	0.000120216	1353	303.909	1049.09	NA	14	9.90783	4.09217	NA	NA	0.010541	3.14564:10.1073:3.18131:3.06544:0.315167:1	0.287611(0.277655:0.247788:0.337389)	-1861.37	NA	NA	NA
Pa_1_19870	pseudoanserina	MA	0.00365848	0.0430865	0.0849101	1.90065e-05	1353	211.191	1141.81	NA	13	8.9098	4.0902	NA	NA	0.00981284	0.967503:8.68182:4.4548:0.143219:0.0929468:1	0.289454(0.279867:0.247788:0.340708)	-1848.96	NA	NA	NA
Pa_1_19870	pauciseta	MA	0.00205675	0.0232098	0.0886157	0.00046146	1353	345.502	1007.5	NA	10	7.94655	2.05345	NA	NA	0.00745838	3.21905:3.94478:2.9907:2.88285:1.01779:1	0.288717(0.279867:0.247788:0.338496)	-1840.03	NA	NA	NA
Pa_1_19870	pseudopauciseta	MA	0.00279583	0.0366558	0.0762725	4.74666e-05	1353	220.879	1132.12	NA	11	7.90834	3.09166	NA	NA	0.00832351	0.653739:5.24747:4.16786:0.204601:0.87401:1	0.288717(0.278761:0.247788:0.339602)	-1842.63	NA	NA	NA
Pa_1_19870	pseudocomata	MA	0.0030311	0.0307336	0.0986249	9.09345e-05	1353	329.43	1023.57	NA	13	9.95073	3.04927	NA	NA	0.00977614	2.8841:4.661:3.73758:3.36951:1.63187:1	0.286873(0.276549:0.247788:0.336283)	-1858.9	NA	NA	NA
Pa_1_19870	comata	MA	0.00406622	0.0147632	0.275429	0.0480871	1353	337.795	1015.21	NA	9	4.92403	4.07597	NA	NA	0.00673688	19.9269:23.8069:25.7372:24.6173:20.0757:1	0.27323(0.266593:0.232301:0.320796)	-1837.71	NA	NA	NA
Pa_1_2130	bellae-mahoneyi	MA	0.00678274	0.0358974	0.188948	7.51591e-09	3492	811.538	2680.46	NA	46	28.3237	17.6763	NA	NA	0.013549	8.30838:7.73665:5.34774:5.45508:0.175493:1	0.273677(0.2897:0.195708:0.335622)	-4741.82	NA	NA	NA
Pa_1_2130	pseudoanserina	MA	0.00477821	0.0325146	0.146956	2.57823e-08	3492	690.065	2801.93	NA	35	21.9202	13.0798	NA	NA	0.0102593	9.68359:9.89205:11.6392:11.5921:5.98359:1	0.275823(0.2897:0.197854:0.339914)	-4686.6	NA	NA	NA
Pa_1_2130	pauciseta	MA	0.0036226	0.0244094	0.14841	2.0357e-07	3492	708.148	2783.85	NA	27	17.0516	9.94835	NA	NA	0.00783799	2.94639:2.9801:2.89657:2.92021:0.738914:1	0.275823(0.28927:0.197854:0.340343)	-4647.6	NA	NA	NA
Pa_1_2130	pseudopauciseta	MA	0.00569537	0.030742	0.185264	2.01487e-07	3492	713.007	2778.99	NA	37	21.4857	15.5143	NA	NA	0.0108095	5.12624:5.06495:5.12207:5.076:3.09451:1	0.27525(0.28927:0.197854:0.338627)	-4703.8	NA	NA	NA
Pa_1_2130	pseudocomata	MA	0.00518379	0.0227154	0.228206	1.28432e-05	3492	766.644	2725.36	NA	31	17.1152	13.8848	NA	NA	0.00903273	24.2666:20.7247:20.2318:19.549:6.27577:1	0.275536(0.288841:0.197854:0.339914)	-4660.56	NA	NA	NA
Pa_1_2130	comata	MA	0.00625455	0.0282484	0.221412	1.48785e-06	3492	767.438	2724.56	NA	38	21.2759	16.7241	NA	NA	0.0110881	4.41485:5.1953:3.16962:3.38591:0.467056:1	0.246209(0.257511:0.179828:0.301288)	-4703.08	NA	NA	NA
Pa_1_21770	bellae-mahoneyi	MA	0.00274098	0.0471733	0.0581045	4.06589e-07	1017	250.643	766.357	NA	13	11.0389	1.96115	NA	NA	0.0136915	2.98834:3.01388:1.74188:1.65628:0.530034:1	0.263725(0.263235:0.205882:0.322059)	-1421.45	NA	NA	NA
Pa_1_21770	pseudoanserina	MA	0.00669429	0.00819182	0.817192	0.50307	1017	233.389	783.611	NA	7	1.86978	5.13022	NA	NA	0.00703795	18.3467:20.4642:23.6336:25.3269:0.01:1	0.264216(0.264706:0.204412:0.323529)	-1401.01	NA	NA	NA
Pa_1_21770	pauciseta	MA	NA	NA	NA	NA	1017	212.081	804.919	NA	0	NA	NA	NA	NA	NA	0.377577:0.330716:0.477325:0.47811:0.287771:1	0.264706(0.264706:0.204412:0.325)	-1352.23	NA	NA	NA
Pa_1_21770	pseudopauciseta	MA	0.00569155	0.0164869	0.345217	0.0842067	1017	231.37	785.63	NA	8	3.68289	4.31711	NA	NA	0.0081475	19.0584:17.6601:24.9928:24.8991:10.7954:1	0.263725(0.264706:0.207353:0.319118)	-1406.69	NA	NA	NA
Pa_1_21770	comata	MA	0.00443824	0.0155018	0.286306	0.0616277	1011	243.394	767.606	NA	7	3.67852	3.32148	NA	NA	0.00710173	24.5808:30:19.2945:19.2945:0.01:1	0.240686(0.241176:0.194118:0.286765)	-1387.78	NA	NA	NA
Pa_1_23870	bellae-mahoneyi	MA	0.00316073	0.0322513	0.0980032	9.83381e-08	2247	597.597	1649.4	NA	24	18.8903	5.10972	NA	NA	0.0108975	2.37451:2.56001:1.5433:1.61036:0.31032:1	0.255556(0.271333:0.213333:0.282)	-3126.6	NA	NA	NA
Pa_1_23870	pseudoanserina	MA	0.0054265	0.0214256	0.253272	0.000395222	2247	568.516	1678.48	NA	21	12.0154	8.98462	NA	NA	0.00947445	21.0513:21.0508:18.9283:22.9311:1.57742:1	0.256222(0.270667:0.214:0.284)	-3111.26	NA	NA	NA
Pa_1_23870	pauciseta	MA	0.00269452	0.0219884	0.122543	1.76441e-05	2238	580.605	1657.39	NA	17	12.5944	4.40564	NA	NA	0.00769994	3.68143:3.98153:2.84507:2.83492:0.50069:1	0.255111(0.268:0.212667:0.284667)	-3073.02	NA	NA	NA
Pa_1_23870	pseudopauciseta	MA	0.00730638	0.0211033	0.346219	0.00775511	2247	569.298	1677.7	NA	24	11.8794	12.1206	NA	NA	0.010802	28.5532:28.5164:25.3809:25.6955:6.85756:1	0.255556(0.27:0.213333:0.283333)	-3129.47	NA	NA	NA
Pa_1_23870	pseudocomata	MA	0.00305143	0.0159794	0.19096	0.00221046	2247	566.043	1680.96	NA	14	8.93377	5.06623	NA	NA	0.00630814	19.867:23.516:20.3699:20.7666:0.01:1	0.256667(0.27:0.212667:0.287333)	-3069.34	NA	NA	NA
Pa_1_23870	comata	MA	0.00495019	0.0251781	0.196607	2.33279e-05	2247	607.585	1639.42	NA	23	15.0278	7.97218	NA	NA	0.0104198	6.40213:5.87077:4.21157:4.20377:0.444627:1	0.239333(0.25:0.206667:0.261333)	-3122.1	NA	NA	NA
Pa_1_24450	bellae-mahoneyi	MA	0.010858	0.0539476	0.201269	1.67445e-11	3192	855.557	2336.44	NA	69	44.5263	24.4737	NA	NA	0.0224074	4.47718:4.7775:2.87608:2.88566:0.444849:1	0.265884(0.283568:0.213146:0.300939)	-4594.44	NA	NA	NA
Pa_1_24450	pseudoanserina	MA	0.0101689	0.0484755	0.209773	1.2629e-10	3192	873.71	2318.29	NA	64	41.115	22.885	NA	NA	0.0206541	2.72789:4.49536:0.911735:0.938065:0.561626:1	0.264789(0.281221:0.214085:0.299061)	-4565.07	NA	NA	NA
Pa_1_24450	pauciseta	MA	0.00877358	0.0185453	0.47309	0.0237121	3189	866.139	2322.86	NA	36	15.8677	20.1323	NA	NA	0.0114276	3.61319:3.99705:2.06479:2.1289:0.080836:1	0.266354(0.283568:0.213615:0.301878)	-4445.97	NA	NA	NA
Pa_1_24450	pseudopauciseta	MA	0.0097592	0.0500167	0.195119	1.76786e-11	3192	867.381	2324.62	NA	64	42.0243	21.9757	NA	NA	0.0206986	2.94246:4.69382:1.19961:1.17652:0.511691:1	0.264789(0.281221:0.214085:0.299061)	-4566.57	NA	NA	NA
Pa_1_24450	pseudocomata	MA	0.00822637	0.0342643	0.240086	3.48613e-07	3192	878.006	2313.99	NA	48	29.3983	18.6017	NA	NA	0.0153885	5.61336:5.44568:3.27062:3.30708:0.166209:1	0.268232(0.284507:0.215493:0.304695)	-4496.16	NA	NA	NA
Pa_1_24450	comata	MA	0.00913233	0.0301766	0.30263	3.82338e-05	3192	945.667	2246.33	NA	48	27.9254	20.0746	NA	NA	0.0153669	6.30194:4.87481:2.25235:2.23916:0.241689:1	0.245853(0.262911:0.195775:0.278873)	-4491.34	NA	NA	NA
Pa_1_2740	bellae-mahoneyi	MA	0.00414852	0.0314025	0.132108	8.73492e-06	1848	371.898	1476.1	NA	17	11.1523	5.84771	NA	NA	0.00963321	9.10648:9.13239:11.1908:10.8808:8.95533:1	0.277418(0.281199:0.206645:0.344408)	-2558.43	NA	NA	NA
Pa_1_2740	pseudoanserina	MA	0.000777655	0.0216912	0.0358512	2.25446e-05	1848	382.005	1465.99	NA	9	7.91151	1.08849	NA	NA	0.00510074	9.25887:9.99948:8.37085:8.37085:8.29988:1	0.279038(0.281199:0.208266:0.34765)	-2509.02	NA	NA	NA
Pa_1_2740	pauciseta	MA	0.00149141	0.0366947	0.0406437	3.2812e-08	1848	400.704	1447.3	NA	16	13.9519	2.04814	NA	NA	0.00912458	1.48628:1.29788:0.922603:0.922603:0.6624:1	0.278228(0.28201:0.209076:0.343598)	-2549.71	NA	NA	NA
Pa_1_2740	pseudopauciseta	MA	0.000769556	0.0188559	0.0408126	0.000103269	1848	384.773	1463.23	NA	8	6.92519	1.07481	NA	NA	0.00453531	8.40005:8.04146:7.32601:7.32601:8.04248:1	0.278768(0.281199:0.208266:0.34684)	-2504.52	NA	NA	NA
Pa_1_2740	pseudocomata	MA	0.000713231	0.0179986	0.0396271	0	1848	406.835	1441.16	NA	8	7.01524	0.984759	NA	NA	0.00451858	2.24977:2.67812:1.2131:1.2131:0.446496:1	0.278768(0.281199:0.209887:0.345219)	-2507.95	NA	NA	NA
Pa_1_2740	comata	MA	2.96499e-05	0.0296499	0.001	0	1848	426.062	1421.94	NA	12	11.9601	0.0399156	NA	NA	0.00685867	3.6735:3.5151:1.91418:1.91418:0.404737:1	0.273906(0.276337:0.206645:0.338736)	-2521.14	NA	NA	NA
