Ortholog	pauciseta	comata	bellae-mahoneyi	pseudoanserina	pseudopauciseta	pseudocomata
Pa_5_140	0.0106640449	0.0106544237	0.01380368	0.012546243700000001	0.0119122462	0.0150725752
Pa_5_1750	0.0072643568	0.0113425733	0.0105065156	0.009691684400000001	0.0072621244	0.009325206499999999
Pa_5_2690	0.0092479203	0.008901173799999999	0.0117986749	0.013399240699999999	0.0127055544	0.00890116
Pa_5_3030	0.0059850629	0.007839584	0.013496302000000002	0.0166202165	0.0160338555	0.0090914907
Pa_5_3840	0.0087444489	0.015263608	0.0128318563	0.007453294	0.0122147044	0.022440069700000002
Pa_5_4730	0.0124821948	0.012995283100000001	0.0179621372	0.0124505629	0.0119055063	0.0140750567
Pa_5_5570	0.007972509	0.0087745929	0.0107862786	0.0112147243	0.0120255864	0.008774486699999999
Pa_5_5690	0.0145280842	0.011614053	0.019378938999999998	0.014509363899999999	0.0154805209	0.0154785249
Pa_5_6300	0.0051890075	0.0090322527	0.0093138139	0.0095763959	0.0106811463	0.008211787
Pa_5_670	0.0107912979	0.015891749099999998	0.0180529807	0.0151216533	0.015848043200000002	0.012952371
Pa_5_6830	0.0131924584	0.014826186600000001	0.015897548900000003	0.016454406900000003	0.017075939000000002	0.0156143927
Pa_5_7040	0.0052112115	0.0069569167	0.0174712459	0.0069628276	0.0078337507	0.007827716200000001
Pa_5_8380	2e-06	0.0080111938	0.007162941000000001	0.0069863662	0.0090079037	0.0126069617
Pa_6_10690	0.0133405795	0.0126447074	0.0216006293	0.0164314812	0.015798715	0.0171751863
Pa_6_10850	0.013467233700000001	0.0100267788	0.012133379	0.015494626800000001	0.017185638399999998	0.0117109226
Pa_6_1210	0.0088139357	0.006885093	0.0084238985	0.008415958800000001	0.0080312742	0.0068839169
Pa_6_2760	0.012353428	0.014997079600000001	0.0123488391	0.0167765717	0.0194561538	0.015008878
Pa_6_3070	0.0096169929	0.0057645799000000005	0.0115791947	0.0076915283	0.0100901264	0.0110780198
Pa_6_3220	0.007903661900000001	0.0114116256	0.0070192759	0.0149437406	0.014069339299999999	0.0105338105
Pa_6_3340	0.0095987111	0.0096048138	0.0071954643	0.0139551057	0.0139410302	0.0105640974
Pa_6_4130	0.009211655400000001	0.009928699000000001	0.0157500457	0.0170891939	0.018501954900000003	0.009919897300000001
Pa_6_4250	0.011610730900000001	0.010477476900000001	0.0120140035	0.0142351653	0.015726554099999998	0.0127012774
Pa_6_5720	0.0065324548	0.0081720362	0.0087385178	0.0098050248	0.0091541022	0.0081708867
Pa_6_5880	0.0031900384	0.0031939755	0.0064158051	0.0080924846	0.0089107854	0.0056001209
Pa_6_6010	0.0059280643	0.009492454800000001	0.011873332399999999	0.011876340400000001	0.013058305899999999	0.0106831239
Pa_6_6860	0.0087320021	0.015592631999999999	0.011645601299999999	0.0097082057	0.0106792052	0.009706496799999999
Pa_6_7100	0.0009956753999999998	0.0093140401	0.0159110991	0.019007067000000002	0.0190542456	0.014498941500000001
Pa_6_7770	0.0092191439	0.027997423100000002	0.020607012700000003	0.0339300285	0.037244349600000004	0.0115045906
Pa_6_8460	0.0096811885	0.0102209126	0.016746245700000002	0.0129820318	0.0124354949	0.0123908913
Pa_7_11300	0.0082512476	0.008862448700000001	0.0101343742	0.0082241711	0.008229757800000001	0.0069593628000000005
Pa_7_11560	0.0083470832	0.0154525072	0.0118891566	0.0108614673	0.0094901394	0.0091750429
Pa_7_2690	0.0098162904	0.0114648786	0.0168411096	0.0135222048	0.0139339372	0.0106430593
Pa_7_2990	0.0038708578000000004	0.0090260631	0.016187586900000002	0.012910899200000001	0.0135596447	0.010320765400000001
Pa_7_3720	0.0102592723	0.0194788689	0.0201548581	0.0200516367	0.020624771400000002	0.014270233700000001
Pa_7_4040	0.0195044693	0.018795988899999998	0.0261403782	0.022120719100000002	0.0248643148	0.018656467200000002
Pa_7_4900	0.0135390689	0.017644183199999997	0.013535597600000001	0.016261918299999997	0.0189611267	0.011498044499999999
Pa_7_7260	0.0053445901	0.010390606	0.0094242199	0.0110058538	0.0106870729	0.008473802400000001
Pa_7_9193	0.0070360310999999995	0.0162753081	0.022130996899999998	0.0155516859	0.0161211486	0.0178941213
Pa_7_9920	0.0069146953	0.009684597999999999	0.0110682333	0.007599708700000001	0.0082938135	0.0082929565
nwd5	0.0009262278	0.044778194300000004	0.051730566500000005	0.0431578356	0.0418132116	0.04008079379999999
nwd2	0.034899517199999994	0.0279610707	0.039715895699999997	0.0283866163	NA	0.0288482625
nwd3	0.023738609600000002	0.0363766488	0.0461280352	0.037388413999999995	0.1009959554	NA
nwd1	0.0167591967	NA	NA	0.020793033199999998	0.0212439908	0.019263118
het-e	0.033196165	0.0254177031	NA	0.033639994	0.0335965564	NA
hnwd3	NA	NA	NA	NA	NA	NA
nwd6	0.1857434271	0.203073286	NA	0.2030419819	0.1984720094	0.1951918744
nwdp-2	NA	NA	NA	NA	NA	NA
het-d	NA	NA	NA	NA	NA	NA
hnwd1	0.0007027845	0.07884759300000001	0.0716258349	0.0749406358	0.0752640531	0.08819554010000001
het-r	0.016937925399999998	0.020258272100000002	0.0343659703	0.038331994800000005	0.0399157024	0.0190487653
Pa_2_8180	0.0588892475	0.0519788793	0.1372249104	0.060733752200000005	0.0612929595	0.0694780087
Pa_3_8560	NA	0.0365090712	0.033976472699999996	0.0342287835	0.0331931214	0.033876005699999996
Pa_6_7270	0.0192058441	NA	0.037566209399999995	0.0180827423	0.017463873	0.014668383400000002
Pa_7_10370	0.027132305	0.05875486290000001	0.069618098	0.03872274319999999	0.0429738729	0.0432069146
Pa_2_10340	0.0435469946	0.0400802043	0.043519106099999996	0.040515523799999995	0.0448776272	0.039359197799999995
Pa_6_7950+Pa_6_7955	0.0021377686999999998	0.0594205832	NA	0.046882086700000006	0.0485834631	0.049584391900000004
PaPnt1	2.1176e-06	0.0658586992	0.0733925002	NA	NA	0.028051579799999997
Pa_7_3550	0.0007611100000000001	0.0494697591	0.0311782365	0.0275993243	0.0268520241	0.026497005200000003
Pa_6_8850+Pa_6_8860	NA	0.016653663399999998	0.0174624189	NA	NA	NA
PaFnt1	0.0537953159	0.07905918249999999	0.0549696026	0.0782750309	0.0781624534	0.0734736126
Pa_3_8170	0.02237295	0.2791066711	0.2762666694	0.2664159685	0.26629350379999994	0.274088887
Pa_2_8310	0.0130457061	0.033955130199999996	0.0393663689	0.033290222	0.0333543366	0.0328314386
Pa_4_4680	0.0196232882	0.0236316818	0.0294289614	0.0306174121	0.030178146	0.0221265993
Pa_5_8530	0.0099625371	0.0170494172	0.017655562399999998	0.0141198824	0.0146997213	0.0187954878
Pa_2_8450	0.0153732234	0.0199310589	0.020440872800000003	0.0192173145	0.0222389841	0.015888144200000003
Pa_5_12630	0.0003131524	0.021132815800000003	0.030252470500000003	0.019168857100000002	0.016712246200000003	0.0192110505
Pa_6_1090	0.0090500491	0.0087312256	0.011308894900000001	0.0105789187	0.011373823500000001	0.009999943399999999
Pa_5_10920	0.0172043136	0.0220065943	NA	0.04395180559999999	0.04748867389999999	0.0322121479
nwd4	0.0132406619	0.015350362999999999	0.0329419387	0.025530265400000002	0.025545012	0.8065834305
Pa_5_7640	0.0006114612000000001	NA	0.0156330158	NA	NA	0.0131799703
Pa_1_400	0.0205833273	0.0295605071	0.0391538913	0.0325327895	0.034044662	0.0267194267
Pa_3_9600	0.008639756	0.0122033743	0.0172332171	0.0080177167	0.0078205272	0.012724782899999999
Pa_3_9890	0.024241481699999998	0.0269532097	0.0278882254	0.0640871992	0.0648051325	0.041505079199999996
Pa_4_1040	0.0039952973	0.0005695135	0.024913074	0.018506471700000002	0.0192746685	0.016425761400000002
Pa_1_7130	0.0111060053	0.0105709415	0.0229801097	0.0203502286	0.0229146894	0.018287911599999998
Pa_5_640+Pa_5_630	0.0117939759	0.0098467316	0.0154832505	0.0142814565	0.0142784718	0.0145754192
Pa_7_5020	0.0134269248	0.013426130999999997	0.0163176085	0.0172735516	0.017589890099999998	0.015022963
Pa_5_11700	0.0179576976	0.0231640379	0.0260375676	0.0221267661	0.023383701	0.0218927425
Pa_1_10530	0.014644546100000001	0.0208400655	0.0245698345	0.0177252965	0.018329783199999998	0.029628729
Pa_2_10310	0.0114661806	0.0160631044	0.0183593627	0.0187139412	0.0164667148	0.013926357899999998
Pa_6_2410+Pa_6_2405	0.0126471942	0.0183858922	0.0272827251	0.012405701199999999	0.0138609716	0.014700621099999998
Pa_4_6095+Pa_4_6090	0.0263325372	0.029494211	0.030189917499999996	0.0438443778	0.0446683839	0.024971844899999998
Pa_7_3660	0.013108780399999999	0.029807562899999997	0.0308741336	0.021883675	0.023431174199999998	0.015615780400000001
Pa_5_10133+Pa_5_10134	0.0155334318	0.0246088666	NA	0.0375956559	0.03912738229999999	0.031847974
Pa_1_15280+Pa_1_15290	0.0132235287	0.0127850633	0.0174170313	0.014846745500000001	0.0155577631	0.0142893199
Pa_5_8000	0.0006188278	0.0173849405	0.028849051500000004	0.0142640778	0.010038390800000001	0.008986778
Pa_5_340	NA	NA	NA	NA	NA	NA
Pa_5_12660	0.0058367252	0.020620318	NA	0.025513810100000003	0.025803619200000003	NA
Pa_5_7560	NA	NA	NA	NA	NA	NA
Pa_1_11370	0.015554826099999999	0.0174894744	0.022227767699999998	0.019470270499999998	0.029831658	0.0181910516
Pa_2_4490+Pa_2_4500	0.0088930175	NA	NA	0.1605864674	0.1611115172	0.1590357898
Pa_5_8190+Pa_5_8200	0.0081919015	0.0221984502	0.026319186199999997	0.009402389	0.0113326168	0.0081925563
PaPlp1	0.0095247086	0.1763715538	0.1824197359	0.1767760072	0.0136128593	0.010940784299999999
