PFAM	Description	Type	Subset_Count	total_PFAMs_subset	total_genes_subset	Rest_Count	total_PFAMs_rest	total_genes_rest	Odds_ratio	P_Value	P_Value_Adj
PF00132	Bacterial transferase hexapeptide (six repeats)	Other	1	172	181	4	10809	10903	15.1375	0.07903957464044922	1.0
PF01557	Fumarylacetoacetate (FAA) hydrolase C-terminal	Other	1	172	181	4	10809	10903	15.1375	0.07903957464044922	1.0
PF12706	Beta-lactamase superfamily domain	Other	1	172	181	4	10809	10903	15.1375	0.07903957464044922	1.0
PF09994	T6SS, Phospholipase effector Tle1-like, catalytic domain	Other	1	172	181	4	10809	10903	15.1375	0.07903957464044922	1.0
PF13577	SnoaL-like domain	Other	1	172	181	4	10809	10903	15.1375	0.07903957464044922	1.0
PF01088	Ubiquitin carboxyl-terminal hydrolase, family 1	Other	1	172	181	4	10809	10903	15.1375	0.07903957464044922	1.0
PF00734	Fungal cellulose binding domain	Other	2	172	181	27	10809	10903	4.5007	0.08079085966603464	1.0
PF00067	Cytochrome P450	Other	4	172	181	97	10809	10903	2.5176	0.08325697504280669	1.0
PF03443	Auxiliary Activity family 9 (formerly GH61)	Other	2	172	181	29	10809	10903	4.1896	0.09062180252522047	1.0
PF07690	Major Facilitator Superfamily	Other	5	172	181	142	10809	10903	2.1529	0.09292388289840937	1.0
PF25053	Domain of unknown function (DUF7791)	Other	1	172	181	5	10809	10903	12.1089	0.09408550270165318	1.0
PF13857	Ankyrin repeats (many copies)	NLR-associated	1	172	181	5	10809	10903	12.1089	0.09408550270165318	1.0
PF00840	Glycosyl hydrolase family 7	Other	1	172	181	5	10809	10903	12.1089	0.09408550270165318	1.0
PF04408	Helicase associated domain (HA2), winged-helix	Other	1	172	181	6	10809	10903	10.0898	0.10888695820002843	1.0
PF11807	Mycotoxin biosynthesis protein UstYa	Other	1	172	181	6	10809	10903	10.0898	0.10888695820002843	1.0
PF00931	NB-ARC domain	NLR-associated	1	172	181	6	10809	10903	10.0898	0.10888695820002843	1.0
PF13649	Methyltransferase domain	Other	1	172	181	6	10809	10903	10.0898	0.10888695820002843	1.0
PF04479	RTA1 like protein	Other	1	172	181	6	10809	10903	10.0898	0.10888695820002843	1.0
PF02913	FAD linked oxidases, C-terminal domain	Other	1	172	181	7	10809	10903	8.6476	0.12344789171684654	1.0
PF00667	FAD binding domain	Other	1	172	181	7	10809	10903	8.6476	0.12344789171684654	1.0
PF14310	Fibronectin type III-like domain	Other	1	172	181	7	10809	10903	8.6476	0.12344789171684654	1.0
PF00258	Flavodoxin	Other	1	172	181	7	10809	10903	8.6476	0.12344789171684654	1.0
PF00083	Sugar (and other) transporter	Other	2	172	181	36	10809	10903	3.3727	0.12742187469453692	1.0
PF00271	Helicase conserved C-terminal domain	Other	3	172	181	74	10809	10903	2.4664	0.1312084935025678	1.0
PF13637	Ankyrin repeats (many copies)	NLR-associated	1	172	181	8	10809	10903	7.5660	0.13777219034444235	1.0
PF03171	2OG-Fe(II) oxygenase superfamily	Other	1	172	181	8	10809	10903	7.5660	0.13777219034444235	1.0
PF21010	Helicase associated domain (HA2), ratchet-like	Other	1	172	181	8	10809	10903	7.5660	0.13777219034444235	1.0
PF14226	non-haem dioxygenase in morphine synthesis N-terminal	Other	1	172	181	8	10809	10903	7.5660	0.13777219034444235	1.0
PF07717	Oligonucleotide/oligosaccharide-binding (OB)-fold	Other	1	172	181	8	10809	10903	7.5660	0.13777219034444235	1.0
PF01915	Glycosyl hydrolase family 3 C-terminal domain	Other	1	172	181	9	10809	10903	6.7247	0.15186367870088982	1.0
PF00512	His Kinase A (phospho-acceptor) domain	Other	1	172	181	9	10809	10903	6.7247	0.15186367870088982	1.0
PF00933	Glycosyl hydrolase family 3 N terminal domain	Other	1	172	181	10	10809	10903	6.0517	0.16572611992855274	1.0
PF00135	Carboxylesterase family	Other	1	172	181	12	10809	10903	5.0421	0.19277861206887875	1.0
PF13520	Amino acid permease	Other	1	172	181	12	10809	10903	5.0421	0.19277861206887875	1.0
PF07859	alpha/beta hydrolase fold	Other	1	172	181	12	10809	10903	5.0421	0.19277861206887875	1.0
PF00010	Helix-loop-helix DNA-binding domain	Other	1	172	181	13	10809	10903	4.6538	0.20597589065396896	1.0
PF00175	Oxidoreductase NAD-binding domain	Other	1	172	181	14	10809	10903	4.3210	0.21895857934336665	1.0
PF00072	Response regulator receiver domain	Other	1	172	181	14	10809	10903	4.3210	0.21895857934336665	1.0
PF00009	Elongation factor Tu GTP binding domain	Other	1	172	181	14	10809	10903	4.3210	0.21895857934336665	1.0
PF02518	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	Other	1	172	181	15	10809	10903	4.0326	0.23173014833233122	1.0
PF01822	WSC domain	Other	1	172	181	16	10809	10903	3.7802	0.24429401200705544	1.0
PF07992	Pyridine nucleotide-disulphide oxidoreductase	Other	1	172	181	18	10809	10903	3.3596	0.2688120072545116	1.0
PF05368	NmrA-like family	Other	1	172	181	19	10809	10903	3.1825	0.2807726965167742	1.0
PF00248	Aldo/keto reductase family	Other	1	172	181	20	10809	10903	3.0231	0.29253879755893464	1.0
PF00082	Subtilase family	NLR-associated	1	172	181	21	10809	10903	2.8788	0.3041134588300034	1.0
PF20684	Fungal rhodopsin domain	Other	2	172	181	68	10809	10903	1.7803	0.3172839970611541	1.0
PF09362	Domain of unknown function (DUF1996)	Other	1	172	181	26	10809	10903	2.3241	0.3592218630285384	1.0
PF12937	F-box-like	Other	1	172	181	26	10809	10903	2.3241	0.3592218630285384	1.0
PF11951	Fungal specific transcription factor domain	Other	1	172	181	27	10809	10903	2.2379	0.3697112220582784	1.0
PF00107	Zinc-binding dehydrogenase	Other	1	172	181	31	10809	10903	1.9484	0.4099883411093038	1.0
PF01565	FAD binding domain	Other	1	172	181	38	10809	10903	1.5885	0.4744098893097749	1.0
PF00106	short chain dehydrogenase	Other	1	172	181	65	10809	10903	0.9263	0.6637472341980748	1.0
PF00400	WD domain, G-beta repeat	NLR-associated	1	172	181	86	10809	10903	0.6988	0.7626114037298797	1.0
PF08288	PIGA (GPI anchor biosynthesis)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00622	SPRY domain	Other	0	172	181	4	10809	10903	0.0000	1.0	1.0
PF23594	26S proteasome regulatory subunit RPN11 C-terminal domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF05020	NPL4 family, putative zinc binding region	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF20400	BAR-like domain	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF10183	ESSS subunit of NADH:ubiquinone oxidoreductase (complex I)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF06148	COG2 N-terminal	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF02744	Galactose-1-phosphate uridyl transferase, C-terminal domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF04603	Ran-interacting Mog1 protein	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF10295	Uncharacterised protein (DUF2406)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF13847	Methyltransferase domain	Other	0	172	181	4	10809	10903	0.0000	1.0	1.0
PF01450	Ketol-acid reductoisomerase, C-terminal domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF03343	SART-1 family	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF05183	RNA dependent RNA polymerase	Other	0	172	181	4	10809	10903	0.0000	1.0	1.0
PF07297	Dolichol phosphate-mannose biosynthesis regulatory protein (DPM2)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF09733	VEFS-Box of polycomb protein	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF03656	Pam16	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF04252	Protein arginine N-methyltransferase SFM1-like	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF02152	Dihydroneopterin aldolase	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF18261	Rpn9 C-terminal helix	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF01227	GTP cyclohydrolase I	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF01156	Inosine-uridine preferring nucleoside hydrolase	Other	0	172	181	4	10809	10903	0.0000	1.0	1.0
PF02020	eIF4-gamma/eIF5/eIF2-epsilon	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF02922	Carbohydrate-binding module 48 (Isoamylase N-terminal domain)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF17047	Synaptotagmin-like mitochondrial-lipid-binding domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF09084	NMT1/THI5 like	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF12855	TORC1 inhibitor Ecl family	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF16282	SANT/Myb-like domain of DAMP1	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF02257	RFX DNA-binding domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00449	Urease alpha-subunit, N-terminal domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF22683	Nab2-like CCCH zinc finger	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00156	Phosphoribosyl transferase domain	Other	0	172	181	4	10809	10903	0.0000	1.0	1.0
PF12220	U1 small nuclear ribonucleoprotein of 70kDa MW N terminal	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF12768	Rax2 C-terminal beta propeller domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF24483	Domain of unknown function (DUF7582)	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF01368	DHH family, N-terminal domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF16189	Creatinase/Prolidase N-terminal domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00375	Sodium:dicarboxylate symporter family	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF06807	Pre-mRNA cleavage complex II protein Clp1	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00579	tRNA synthetases class I (W and Y)	Other	0	172	181	4	10809	10903	0.0000	1.0	1.0
PF16803	Fe-S cluster assembly protein DRE2 N-terminus	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF05033	Pre-SET motif	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00514	Armadillo/beta-catenin-like repeat	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF01259	SAICAR synthetase	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF05362	Lon protease (S16) C-terminal proteolytic domain	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF06292	MUN domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00644	Poly(ADP-ribose) polymerase catalytic domain	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF06025	Domain of Unknown Function (DUF913)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF09649	Histone chaperone domain CHZ	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF02238	Cytochrome c oxidase subunit VII	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00977	Histidine biosynthesis protein	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF24055	DNA polymerase delta catalytic subunit-like, N-terminal domain	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF10067	Predicted membrane protein (DUF2306)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF13720	Udp N-acetylglucosamine O-acyltransferase; Domain 2	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00328	Histidine phosphatase superfamily (branch 2)	Other	0	172	181	5	10809	10903	0.0000	1.0	1.0
PF04137	Endoplasmic Reticulum Oxidoreductin 1 (ERO1)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF08447	PAS fold	Other	0	172	181	5	10809	10903	0.0000	1.0	1.0
PF10186	Vacuolar sorting 38 and autophagy-related subunit 14	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF23617	EF-hand	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF02781	Glucose-6-phosphate dehydrogenase, C-terminal domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF13695	Zinc-binding domain	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF02629	CoA binding domain	Other	0	172	181	3	10809	10903	0.0000	1.0	1.0
PF04324	BFD-like [2Fe-2S] binding domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF02064	MAS20 protein import receptor	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00875	DNA photolyase	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF06824	Metal-independent alpha-mannosidase (GH125)	Other	0	172	181	4	10809	10903	0.0000	1.0	1.0
PF24947	Phosphoglucomutase-1, C-terminal domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF19535	Family of unknown function (DUF6060)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF03144	Elongation factor Tu domain 2	Other	0	172	181	10	10809	10903	0.0000	1.0	1.0
PF23113	E3 ubiquitin-protein ligase MARCHF6-like, C-terminal domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF10273	Pre-rRNA-processing protein TSR2	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF22997	Chitin synthase 4-like domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF13373	DSC E3 ubiquitin ligase complex subunit 3, C-terminal domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00581	Rhodanese-like domain	Other	0	172	181	11	10809	10903	0.0000	1.0	1.0
PF02862	DDHD domain	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF08212	Lipocalin-like domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00348	Polyprenyl synthetase	Other	0	172	181	3	10809	10903	0.0000	1.0	1.0
PF16121	40S ribosomal protein S4 C-terminus	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF14523	Syntaxin-like protein	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF08797	HIRAN domain	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF23658	CPAF-like PDZ domain	Other	0	172	181	3	10809	10903	0.0000	1.0	1.0
PF20511	Phosphomannose isomerase type I, catalytic domain	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF23356	PEP5/VPS11 Clathrin repeat	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF01301	Glycosyl hydrolases family 35	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF17767	Nicotinate phosphoribosyltransferase (NAPRTase) N-terminal domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF10483	Elongator subunit Iki1	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF04366	Las17-binding protein actin regulator	Other	0	172	181	3	10809	10903	0.0000	1.0	1.0
PF10443	RNA12 protein	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF19566	Sorting nexin 8/Mvp1 BAR domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF20428	Sey1 three-helix bundle domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF10199	Alpha and gamma adaptin binding protein p34	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF08457	Sfi1 spindle body protein	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF13883	CREG, beta-barrel	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF03151	Triose-phosphate Transporter family	Other	0	172	181	4	10809	10903	0.0000	1.0	1.0
PF25767	Tubulin-specific chaperone D-like, ARM repeats	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF20653	Conserved Oligomeric Golgi complex subunit 6, C-terminal	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF03162	Tyrosine phosphatase family	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00441	Acyl-CoA dehydrogenase, C-terminal domain	Other	0	172	181	10	10809	10903	0.0000	1.0	1.0
PF18126	Mitochondrial ribosomal protein mL59	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00854	POT family	Other	0	172	181	4	10809	10903	0.0000	1.0	1.0
PF04104	Eukaryotic and archaeal DNA primase, large subunit	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF24984	Elongation factor 3/GNC1 HEAT repeat	NLR-associated	0	172	181	3	10809	10903	0.0000	1.0	1.0
PF01902	Diphthamide synthase	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF22634	DNA polymerase epsilon catalytic subunit A, thumb domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF03643	Vacuolar protein sorting-associated protein 26	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF03239	Iron permease FTR1 family	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF03291	mRNA (guanine-N(7))-methyltransferase domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF04758	Ribosomal protein S30	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF03972	MmgE/PrpD N-terminal domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF03388	Legume-like lectin family	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF25141	GPI inositol-deacylase beta-sandwich domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF18130	ATP-grasp N-terminal domain	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF25378	NSUN2 PUA domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF22956	VPS15-like, helical domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00628	PHD-finger	Other	0	172	181	7	10809	10903	0.0000	1.0	1.0
PF15469	Exocyst complex component Sec5	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF03311	Cornichon protein	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF11034	Glucose-repressible protein Grg1	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF10487	Nucleoporin Nup188, N-terminal	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF02144	Repair protein Rad1/Rec1/Rad17	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF03870	RNA polymerase Rpb8	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00152	tRNA synthetases class II (D, K and N)	Other	0	172	181	9	10809	10903	0.0000	1.0	1.0
PF01134	Glucose inhibited division protein A	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF22788	COP9 signalosome complex subunit 3, N-terminal helical repeats	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF05162	Ribosomal protein L41	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF25534	Domain of unknown function (DUF7918)	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF14716	Helix-hairpin-helix domain	Other	0	172	181	3	10809	10903	0.0000	1.0	1.0
PF12423	Kinesin protein 1B	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF23271	Stalled ribosome sensor GCN1-like, HEAT repeats	NLR-associated	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF04037	Domain of unknown function (DUF382)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF03399	SAC3/GANP family	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF12152	Eukaryotic translation initiation factor 4G1	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF08571	Yos1-like	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF23867	Mmc1 N-terminal domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF16761	Transcription-silencing protein, cryptic loci regulator Clr2	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF01112	Asparaginase	Other	0	172	181	3	10809	10903	0.0000	1.0	1.0
